codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
90006HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90006hop-36529,49,,90006HOP,AMORT DEL Fiat Camion 619 T1-T1C-TC Hidráulico Original,Fiat Camion 619 T1-T1C-TC Del Hidráulico Original_x000D_ OEM 7137365,"[""ECO 190.33 12.8 (1992 AL 1997)"", ""MECC EUROCARGO 5.9 (2002 AL 2020)"", ""MECC EUROCARGO 7.8 (2002 AL 2015)""]",3,"[""LONGITUD TOTAL EXTENDIDO: 748 mm"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: 5/B 20 x 45"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""LONGITUD TOTAL COMPRIMIDCO: 472 mm"", ""POSICION: DELANTERO"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: 5/8 20 x 45"", ""LADO: AMBOS""]",8,"[""CORVEN: 88017"", ""FRIC ROT: 98006"", ""MONROE: 98006"", ""SACHS: 2417/6""]",4,,,32.7557
90010HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90010hop-36531,49,,90010HOP,AMORT DEL MB Camión Hidráulico Original,MB Ca LG12/4 71//OmL911LAO12/4 EO/OF1214Fr68/84Del Hidráulico Original_x000D_ FRM 72022 Corven 76004 Monroe - Cofap L12917 Nakata AC36026 Sachs 314-590,"[""MERCEDES BENZ L 1214 (1997 AL 1999)"", ""MERCEDES BENZ L 1619 (1990 AL 1992)"", ""MERCEDES BENZ L 1622 (1995 AL 2001)""]",3,"[""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""LADO: AMBOS"", ""LONGITUD TOTAL EXTENDIDO: 682 mm"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 16 x 50"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 16x 50"", ""LONGITUD TOTAL COMPRIMIDC: 432 mm"", ""POSICION: DELANTERO""]",8,"[""CORVEN: 76004"", ""CORVEN: 88004"", ""FRIC ROT: 72023"", ""MONROE: 72023"", ""SACHS: 6463/6""]",5,,,34.2839
90011HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90011hop-36532,49,,90011HOP,AMORT DEL Mercedes Benz Omnibus O-140-321 Hidráulico Original,Mercedes Benz Omnibus O-140-321 71/77 Del Hidráulico Original_x000D_ FRM 98061 Corven 88005 Monroe - Cofap 45148 Nakata AC45007 Sachs 314-961,"[""MERCEDES BENZ OF 1417 (2001 AL 2007)"", ""MERCEDES BENZ OF 1418 (2008 AL 2016)"", ""MERCEDES BENZ OF 1721 (1998 AL 2002)"", ""MERCEDES BENZ OF 1722 (2003 AL 2016)""]",4,"[""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 20 x62"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 20x 62"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""POSICION: DELANTERO"", ""LONGITUD TOTAL EXTENDIDO: 677 mm"", ""LONGITUD TOTAL COMPRIMIDCO: 437 mm"", ""LADO: AMBOS""]",8,"[""CORVEN: 88005"", ""SACHS: 6410/6""]",2,,,33.7081
90013HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90013hop-36534,49,,90013HOP,AMORT DEL Scania Camion Todos Hidráulico Original,Scania Camion P93/L112-113/R112-113 Todos Del Hidráulico Original_x000D_,"[""SCANIA SERIE K K112 (1988 AL 1990)"", ""SCANIA SERIE K K113 (1991 AL 1999)"", ""SCANIA SERIE K T112 (1988 AL 1990)"", ""SCANIA SERIE P P270 6X2 (2007 AL 2010)"", ""SCANIA SERIE P P310 4X2 (2007 AL 2017)"", ""SCANIA SERIE P P310 6X4 (2007 AL 2012)"", ""SCANIA SERIE P P340 4X2 (2007 AL 2014)"", ""SCANIA SERIE P P340 6X2 (2007 AL 2014)"", ""SCANIA SERIE P P380 6X4 (2001 AL 2015)"", ""SCANIA SERIE P P380 8X4 (2007 AL 2015)"", ""SCANIA SERIE P P420 6X4 (2007 AL 2012)"", ""SCANIA SERIE P P420 8X4 (2007 AL 2010)"", ""SCANIA SERIE P P93 (1995 AL 1998)"", ""SCANIA SERIE P P94 CB (2001 AL 2008)"", ""SCANIA SERIE P P94 DB (1999 AL 2008)"", ""SCANIA SERIE P P94 GA (1999 AL 2008)"", ""SCANIA SERIE R R112 (1991 AL 1998)"", ""SCANIA SERIE R R113 ML 4X2 (1991 AL 2008)"", ""SCANIA SERIE R R113 ML 6X2 (1995 AL 2008)"", ""SCANIA SERIE T T113H 4X2 42 (1991 AL 1998)"", ""SCANIA SERIE T T113H 6X2 (1991 AL 1998)""]",21,"[""TIPO DE BUJE DE ANCLAJE INFERIOR: G 25 X52"", ""LONGITUD TOTAL EXTENDIDO: 680 mm"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 20 x 100"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""POSICION: DELANTERO"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""LONGITUD TOTAL COMPRIMIDC: 417 mm"", ""LADO: AMBOS""]",8,"[""CORVEN: 88025"", ""FRIC ROT: 98019"", ""MONROE: 98019"", ""SACHS: 10435/6""]",4,,,53.2012
90014HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90014hop-36535,49,,90014HOP,AMORT DEL Mercedes Benz Camion 1215 79/.. Hidráulico Original,Mercedes Benz Camion 1215 79/.. Del Hidráulico Original_x000D_ FRM - Corven 81004 Monroe - Cofap - Nakata - Sachs 315-188,[],0,"[""LONGITUD TOTAL EXTENDIDO: 682 mm"", ""LADO: IZQUIERDO"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""POSICION: DELANTERO"", ""LONGITUD TOTAL COMPRIMIDCO: 482 mm"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 16 x 50"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 16x 50"", ""TIPO DE ANCLAJE INFERIOR: BUJE""]",8,[],0,,,15.5556
90015HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90015hop-36536,49,,90015HOP,AMORT DEL MB Ca Hidráulico Original,MB Ca L-LK/S-1514/7/8/21/6/1924/6/2626EO 75/83/.De Hidráulico Original_x000D_ FRM 98011 Corven 81126 Monroe - Cofap - Nakata - Sachs 315-189,"[""MERCEDES BENZ 1214 (1995 AL 2001)"", ""MERCEDES BENZ 1944 5 (2002 AL 2005)"", ""MERCEDES BENZ L 1214 (1997 AL 1999)"", ""MERCEDES BENZ L 1518 (1988 AL 1991)"", ""MERCEDES BENZ L 1526 (1988 AL 1991)"", ""MERCEDES BENZ L 1619 (1990 AL 1992)"", ""MERCEDES BENZ L 1620 (1999 AL 2010)"", ""MERCEDES BENZ L 1622 (1995 AL 2001)"", ""MERCEDES BENZ L 1633 (1999 AL 2001)"", ""MERCEDES BENZ L 1634 (2005 AL 2014)"", ""MERCEDES BENZ L 1938 (1995 AL 2001)"", ""MERCEDES BENZ L 1941 (1995 AL 2001)"", ""MERCEDES BENZ LS 1633 (1995 AL 2001)"", ""MERCEDES BENZ LS 1634 (2005 AL 2014)"", ""MERCEDES BENZ LS 1938 (2007 AL 2009)"", ""MERCEDES BENZ LS 1941 (1995 AL 2001)""]",16,"[""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 16x 50"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""LONGITUD TOTAL COMPRIMIDO: 502 mm"", ""LONGITUD TOTAL EXTENDIDO: 812 mm"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""POSICION: DELANTERO"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 16 x 50"", ""LADO: AMBOS""]",8,"[""CORVEN: 88026"", ""CORVEN: 88357"", ""FRIC ROT: 98011"", ""MONROE: 98011"", ""SACHS: 6465/6""]",5,,,48.2581
90028HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90028hop-36543,49,,90028HOP,AMORT TRA Hermman/Maldonado/Pentron/Randon Eje Lev Hidráulico Original,Hermman/Maldonado/Pentron/Randon Eje LevTodos Tras Hidráulico Original_x000D_,[],0,"[""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 20x 62"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 20 x62"", ""LONGITUD TOTAL COMPRIMIDO: 312 mm"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""LONGITUD TOTAL EXTENDIDO: 440 mm""]",6,[],0,,,13.9442
90038HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90038hop-36549,49,,90038HOP,AMORT DEL/TRA Deca/Deu/El Det/MB Omn Todos Hidráulico Original,Deca/Deu/El Det/MB Omn Todos Del-Tras-3ºE79/86 Hidráulico Original_x000D_,[],0,"[""TIPO DE BUJE DE ANCLAJE INFERIOR: G 25 X52"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 25 X 52"", ""LONGITUD TOTAL COMPRIMIDCO: 408 mm"", ""LADO: AMBOS"", ""POSICION: DELANTERO"", ""LONGITUD TOTAL EXTENDIDO: 624 mm"", ""TIPO DE ANCLAJE SUPERIOR: BUJE""]",8,"[""CORVEN: 76001"", ""CORVEN: 88001"", ""FRIC ROT: 98501"", ""MONROE: 98501"", ""SACHS: 9403/6""]",5,,,26.5761
90039HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90039hop-36550,49,,90039HOP,AMORT DEL El Detalle Hidráulico Original,El Detalle del Hidráulico Original_x000D_,[],0,"[""TIPO DE ANCLAJE INFERIOR: ESPIGA"", ""LONGITUD TOTAL EXTENDIDO: 598 mm"", ""TIPO DE ESPIGA DE ANCLAJE INFERIOR: ESP 20 x 100"", ""LADO: AMBOS"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 20 x 100"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""POSICION: DELANTERO"", ""LONGITUD TOTAL COMPRIMIDO: 369 mm""]",8,[],0,,,16.1898
90040HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90040hop-36551,49,,90040HOP,AMORT TRA El Detalle Hidráulico Original,El Detalle tras Hidráulico Original_x000D_,[],0,"[""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""TIPO DE ANCLAJE INFERIOR: ESPIGA"", ""LONGITUD TOTAL EXTENDIDO: 598 mm"", ""LONGITUD TOTAL COMPRIMIDO: 369 mm"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 20 x 100"", ""TIPO DE ESPIGA DE ANCLAJE INFERIOR: ESP 20 x 100""]",8,[],0,,,16.2150
90044HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90044hop-36554,49,,90044HOP,AMORT TRA MB OmOH 1314/18/19/1526SN-C/R/1316/20SN Hidráulico Original,MB OmOH 1314/18/19/1526SN-C/R/1316/20SN Todos Tras Hidráulico Original_x000D_,[],0,"[""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 20 x62"", ""LONGITUD TOTAL COMPRIMIDCO: 537 mm"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 20x 62"", ""POSICION: TRASERO"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""LONGITUD TOTAL EXTENDIDO: 877 mm"", ""LADO: AMBOS""]",8,[],0,,,15.7655
90045HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90045hop-36555,49,,90045HOP,AMORT TRA MB1112/4EO65/Om1314/1526 Fiat619T-1-C Hidráulico Original,MB1112/4EO65/72../Om1314/1526 Del/Fiat619T-1-CTras Hidráulico Original_x000D_ FRM 98014 Corven 81240 Monroe - Cofap 45126 Nakata - Sachs 314-964 OEM 7137363,"[""MERCEDES BENZ GH 1320 (1998)"", ""MERCEDES BENZ GH 1420 (1998)""]",2,"[""LONGITUD TOTAL EXTENDIDO: 622 mm"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 16 x 50"", ""LONGITUD TOTAL COMPRIMIDC: 402 mm"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 16 x 50"", ""POSICION: AMBOS"", ""LADO: AMBOS""]",8,"[""CORVEN: 88240"", ""FRIC ROT: 98013"", ""MONROE: 98013"", ""SACHS: 6461/6""]",4,,,30.4492
90051HOP,https://icepar.specparts.shop/products/detail?slug=sadar_90051hop-36561,50,,90051HOP,AMORT DEL Volvo Camion NL 10 310-340/12 360-410 Hidráulico Original,FRM 98024 Corven 81143 Monroe - Cofap 45063 Nakata - Sachs 314-977,[],0,"[""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 16x 100"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""LONGITUD TOTAL EXTENDIDO: 682 mm"", ""POSICION: DELANTERO"", ""LADO: AMBOS"", ""LONGITUD TOTAL COMPRIMIDC: 432 mm"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 16 x 65"", ""TIPO DE ANCLAJE SUPERIOR: BUJE""]",8,[],0,,,15.8885
