codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
2X13X1400-4,https://icepar.specparts.shop/products/detail?slug=gates_2x13x14004-178180,451,,2X13X1400-4,CORREA DOBLE 2/9552 2X13X1400,GATES,"[""MERCEDES BENZ 1718 (1996 AL 2000)"", ""MERCEDES BENZ © 400 (1995 AL 1999)"", ""MERCEDES BENZ © 500 RS (2008 AL 2022)"", ""MERCEDES BENZ OF 1721 (1998 AL 2002)"", ""MERCEDES BENZ OHL 1621 (1998 AL 2000)""]",5,"[""ANCHO: 13 mm"", ""LARGO: 1400 mm""]",2,"[""DAYCO: 2/13x1400"", ""GATES BRA: 2/9552""]",2,,,24.4093
2X13X1450-4,https://icepar.specparts.shop/products/detail?slug=gates_2x13x14504-178181,451,,2X13X1450-4,2/9571,GATES,"[""MERCEDES BENZ 1720 (1999 AL 2008)"", ""MERCEDES BENZ © 400 (1995 AL 1999)"", ""MERCEDES BENZ © 400 RSD (1996 AL 2001)"", ""MERCEDES BENZ © 400 RSE (2000 AL 2007)""]",4,"[""ANCHO: 13 mm"", ""LARGO: 1450 mm""]",2,"[""GATES BRA: 2/9571""]",1,,,24.5811
2X13X1475-9,https://icepar.specparts.shop/products/detail?slug=gates_2x13x14759-178182,451,,2X13X1475-9,2/9580,GATES,[],0,"[""ANCHO: 13 mm"", ""LARGO: 1475 mm""]",2,"[""DAYCO: 2/13x1475"", ""GATES BRA: 2/9580""]",2,,,15.5059
2X13X1500-4,https://icepar.specparts.shop/products/detail?slug=gates_2x13x15004-178183,451,,2X13X1500-4,2/9581,GATES,"[""MERCEDES BENZ 1113 1113 (AUTOBOMBA) (2005 AL 2007)"", ""MERCEDES BENZ L 1518 (1988 AL 1991)""]",2,"[""LARGO: 1500 mm"", ""ANCHO: 13 mm""]",2,"[""GATES BRA: 2X13X1500""]",1,,,19.6066
2X13X1700-4,https://icepar.specparts.shop/products/detail?slug=gates_2x13x17004-178184,451,,2X13X1700-4,2/9670,GATES,"[""MERCEDES BENZ 1214 (1995 AL 2001)"", ""MERCEDES BENZ 1418 (1996 AL 2001)"", ""MERCEDES BENZ 1420 (1995 AL 1999)"", ""MERCEDES BENZ 1521 (2000 AL 2007)"", ""MERCEDES BENZ 1715 (1995 AL 2001)"", ""MERCEDES BENZ 1718 (1996 AL 2000)"", ""MERCEDES BENZ 1720 (1999 AL 2008)"", ""MERCEDES BENZ L 1215 (1990 AL 1996)"", ""MERCEDES BENZ L 1615 (1991 AL 1994)"", ""MERCEDES BENZ L 1619 (1990 AL 1992)"", ""MERCEDES BENZ L 1620 (1999 AL 2010)"", ""MERCEDES BENZ LB 2318 (1995 AL 2001)"", ""MERCEDES BENZ LK 2318 (1995 AL 2001)"", ""MERCEDES BENZ OF 1318 (1993 AL 1995)"", ""MERCEDES BENZ OF 1620 (1995 AL 2001)"", ""MERCEDES BENZ OF 1721 (1998 AL 2002)"", ""MERCEDES BENZ GH 1314 (1987 AL 1993)"", ""MERCEDES BENZ GH 1315 (1990 AL 1992)"", ""MERCEDES BENZ GH 1420 (1998)"", ""MERCEDES BENZ GH 1620 (1998)"", ""MERCEDES BENZ OHL 1316 (1990 AL 1995)"", ""MERCEDES BENZ GHL 1320 (1995 AL 2001)"", ""MERCEDES BENZ OHL 1420 (1995 AL 2001)"", ""MERCEDES BENZ OHL 1621 (1998 AL 2000)""]",24,"[""ANCHO: 13 mm"", ""LARGO: 1760 mm""]",2,"[""GATES BRA: 2X13X1700""]",1,,,45.7439
2X13X1750-4,https://icepar.specparts.shop/products/detail?slug=gates_2x13x17504-178185,451,,2X13X1750-4,2/9689,GATES,"[""MERCEDES BENZ © 371 (1990 AL 1992)"", ""MERCEDES BENZ © 400 (1995 AL 1999)"", ""MERCEDES BENZ GH 1419 (1988 AL 1993)"", ""SCANIA SERIE K K112 (1988 AL 1990)""]",4,"[""ANCHO: 13 mm"", ""LARGO: 1750 mm""]",2,"[""DAYCO: 2/13x1750"", ""GATES BRA: 2/9689""]",2,,,23.4172
11.5X755-9,https://icepar.specparts.shop/products/detail?slug=gates_115x7559-178243,451,,11.5X755-9,6389,GATES,"[""SEAT CORDOBA 1.6 (1996 AL 1999)"", ""SEAT CORDOBA 2.0 (1997 AL 1999)"", ""SEAT IBIZA 16 (2000 AL 2005)"", ""SEAT IBIZA 18 16V (1995 AL 1997)"", ""SEAT IBIZA 2.0 (1994 AL 2000)"", ""SEAT IBIZA 2.0 16V (1996 AL 2000)"", ""SEAT INCA 16 (2000 AL 2002)"", ""SEAT TOLEDO 1.6 (2000 AL 2002)"", ""SEAT TOLEDO 1.8 (1994 AL 1996)"", ""SEAT TOLEDO 2.0 16V (1994 AL 1995)"", ""VOLKSWAGEN CADDY 16 MI (1998 AL 2010)"", ""VOLKSWAGEN GOL 18 MI (1997 AL 1999)"", ""VOLKSWAGEN GOLF 16 8V (1999 AL 2000)"", ""VOLKSWAGEN GOLF 14 MI (1996 AL 1998)"", ""VOLKSWAGEN PASSAT 2.01 (1995 AL 1998)"", ""VOLKSWAGEN POLO CLASSIC 16 8V (2001 AL 2009)"", ""VOLKSWAGEN POLO CLASSIC 16 MI (1996 AL 2001)"", ""VOLKSWAGEN POLO CLASSIC 18 MI (1997 AL 2009)""]",18,"[""ANCHO: 115 mm"", ""LARGO: 755 mm""]",2,"[""CONTITECH: 11.5x755"", ""GATES EUR: 6389MC 115x755""]",2,,,39.0186
13X1825-9,https://icepar.specparts.shop/products/detail?slug=gates_13x18259-178245,451,,13X1825-9,9720,GATES,[],0,"[""ANCHO: 13 mm"", ""LARGO: 1825 mm""]",2,"[""GATES EUR: 6503ESLM AVP13X1825"", ""GATES EUR: 6503EXL AVX13x1825"", ""GATES USA: 9720""]",3,,,16.0863
10X690-4,https://icepar.specparts.shop/products/detail?slug=gates_10x6904-253511,451,,10X690-4,7272,GATES,"[""RENAULT CLIO 14 (1992 AL 1995)"", ""RENAULT R19 14 (1993 AL 1998)""]",2,"[""ANCHO: 10 mm"", ""LARGO: 690 mm""]",2,"[""DAYCO: 10x690"", ""GATES BRA: 7272""]",2,,,21.1540
13X1525-9,https://icepar.specparts.shop/products/detail?slug=gates_13x15259-253512,451,,13X1525-9,9600,GATES,[],0,"[""ANCHO: 13 mm"", ""LARGO: 1525 mm""]",2,"[""DAYCO: 13x1525"", ""GATES BRA: 9600"", ""GATES EUR: 6491EXL AVX13x1525""]",3,,,15.6010
