codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
JGM4975SR,https://icepar.specparts.shop/products/detail?slug=trw_jgm4975sr-61585,87,,JGM4975SR,AMORT DD CITROEN C3 05->,FRM 94191MX Corven 34724G Monroe 94191MI Cofap GP30345M Nakata HG33033d Sadar 60081GOP SACHS 316-258,"[""CITROEN C3 12 PURETECH 82 (2022 AL 2026)"", ""CITROEN C3 14 HDI (2003 AL 2011)"", ""CITROEN C3 141 (2003 AL 2012)"", ""CITROEN C3 16 16V (2005 AL 2013)"", ""CITROEN C3 16 VTI AT6 (2022 AL 2026)"", ""CITROEN C3 16 VTI MT (2022 AL 2026)""]",6,"[""LADO: DERECHO"", ""POSICION: DELANTERO""]",2,"[""COFAP: GP30345M"", ""CORVEN: 34724G"", ""FRIC-ROT: 94191MX"", ""MONROE: 94191MI"", ""SACHS: 316 258"", ""SACHS: 316253"", ""SACHS: 9003G"", ""SADAR: 60081GOP""]",8,,,33.6081
JGM4975SL,https://icepar.specparts.shop/products/detail?slug=trw_jgm4975sl-61586,87,,JGM4975SL,AMORT DI CITROEN C3 05->,FRM 94192MX Corven 34725G Monroe 94192MI Cofap GP30346M Nakata HG33034i Sadar 60080GOP SACHS 316-259,"[""CITROEN C3 12 PURETECH 82 (2022 AL 2026)"", ""CITROEN C3 14 HDI (2003 AL 2011)"", ""CITROEN C3 141 (2003 AL 2012)"", ""CITROEN C3 16 16V (2005 AL 2013)"", ""CITROEN C3 16 VTI AT6 (2022 AL 2026)"", ""CITROEN C3 16 VTI MT (2022 AL 2026)""]",6,"[""POSICION: DELANTERO"", ""LADO: IZQUIERDO""]",2,"[""COFAP: GP30346M"", ""CORVEN: 34725G"", ""FRIC-ROT: 94192MX"", ""MONROE: 94192Ml"", ""SACHS: 316 259"", ""SACHS: 316259"", ""SACHS: 9005G"", ""SADAR: 60080GOP""]",8,,,32.4862
JGT6228S,https://icepar.specparts.shop/products/detail?slug=trw_jgt6228s-61587,87,,JGT6228S,AMORT T CITROEN C3 05->,FRM 83822MX Corven 42727G Monroe 83822MI Cofap GB27531M Nakata HG31125 Sadar 10319GOP SACHS 316-261,"[""CITROEN C3 14 HDI (2003 AL 2011)"", ""CITROEN C3 141 (2003 AL 2012)"", ""CITROEN C3 16 16V (2005 AL 2013)""]",3,"[""LADO: AMBOS"", ""POSICION: TRASERO""]",2,"[""COFAP: GB27531M"", ""CORVEN: 42727G"", ""FRIC-ROT: 83822MX"", ""MONROE: 83822Ml"", ""SACHS: 316 261"", ""SACHS: 316261"", ""SACHS: 9020G"", ""SADAR: 10319GOP""]",8,,,30.4365
JGM5033SL,https://icepar.specparts.shop/products/detail?slug=trw_jgm5033sl-61588,87,,JGM5033SL,AMORT DI CITROEN C3 PICASSO / C3 AIRCROSS 10->,FRM - Corven HT35018 Monroe - Cofap GP32785 Nakata - Sadar 65105GOP SACHS 316-914,"[""CITROEN C3 12 PURETECH 82 (2022 AL 2026)"", ""CITROEN C3 151 (2013 AL 2022)"", ""CITROEN C3 16 16V (2008 AL 2013)"", ""CITROEN C3 16 VTI (2013 AL 2020)"", ""CITROEN C3 16 VTI AT6 (2022 AL 2026)"", ""CITROEN C3 16 VTI MT (2022 AL 2026)"", ""CITROEN C3 AIRCROSS 16 VTIAT (2017 AL 2022)"", ""CITROEN C3 AIRCROSS 16 VTI MT (2018 AL 2023)""]",8,"[""POSICION: DELANTERO"", ""LADO: IZQUIERDO""]",2,"[""COFAP: GP32785"", ""CORVEN: HT35018"", ""FRIC-ROT: 95634MX"", ""MONROE: 7490175P"", ""SACHS: 316 914"", ""SACHS: 316914"", ""SADAR: 65105GOP""]",7,,,34.3675
JGM5033SR,https://icepar.specparts.shop/products/detail?slug=trw_jgm5033sr-61589,87,,JGM5033SR,AMORT DD CITROEN C3 PICASSO / C3 AIRCROSS 10->,FRM - Corven HT35017 Monroe - Cofap GP32784 Nakata - Sadar 65104GOP SACHS 316-915,"[""CITROEN C3 12 PURETECH 82 (2022 AL 2026)"", ""CITROEN C3 151 (2013 AL 2022)"", ""CITROEN C3 16 16V (2008 AL 2013)"", ""CITROEN C3 16 VTI (2013 AL 2020)"", ""CITROEN C3 16 VTI AT6 (2022 AL 2026)"", ""CITROEN C3 16 VTI MT (2022 AL 2026)"", ""CITROEN C3 AIRCROSS 16 VTIAT (2017 AL 2022)"", ""CITROEN C3 AIRCROSS 16 VTI MT (2018 AL 2023)""]",8,"[""LADO: DERECHO"", ""POSICION: DELANTERO""]",2,"[""COFAP: GP32784"", ""CORVEN: HT35017"", ""FRIC-ROT: 95633MX"", ""MONROE: 7490165P"", ""SACHS: 316 915"", ""SACHS: 316915"", ""SADAR: 65104GOP""]",7,,,42.2389
JGT6290S,https://icepar.specparts.shop/products/detail?slug=trw_jgt6290s-61590,87,,JGT6290S,AMORT T CITROEN C3 PICASSO / C3 AIRCROSS / NEW C3 10->,FRM E7806 Corven HT42019 Monroe - Cofap - Nakata - Sadar 10495GOP/10496GOP SACHS 315-956,"[""CITROEN C3 12 PURETECH 82 (2022 AL 2026)"", ""CITROEN C3 151 (2012 AL 2022)"", ""CITROEN C3 16 16V (2008 AL 2013)"", ""CITROEN C3 16 VTI (2012 AL 2020)"", ""CITROEN C3 16 VTIAT (2017 AL 2022)"", ""CITROEN C3 16 VTI AT6 (2022 AL 2026)"", ""CITROEN C3 16 VTI MT (2018 AL 2026)"", ""CITROEN C3 16 VTI MT URBAN TRIAL (2019 AL 2022)"", ""CITROEN C3 AIRCROSS 16 VTIAT (2017 AL 2022)"", ""CITROEN C3 AIRCROSS 16 VTI MT (2018 AL 2023)""]",10,"[""LADO: AMBOS"", ""POSICION: TRASERO""]",2,"[""COFAP: GB27504"", ""CORVEN: HT42019"", ""FRIC-ROT: 83882MX"", ""MONROE: 83882Ml"", ""SACHS: 315 956"", ""SACHS: 315956"", ""SADAR: 10495GOP""]",7,,,37.5023
JGM4522S,https://icepar.specparts.shop/products/detail?slug=trw_jgm4522s-61591,87,,JGM4522S,AMORT D FIAT DUNA SEDAN-WEEKEND/ FIORINO UNO/ UNO 92->,FRM 44426MX Corven 34156 Monroe 44426MI Cofap MP32316 Nakata SE31057 Sadar 60016HOP SACHS 316-050,"[""FIAT DUNA 13 (CARBURADOR) (1988 AL 2001)"", ""FIAT DUNA 13 D (1988 AL 1998)"", ""FIAT DUNA 13 MPI (1988 AL 2001)"", ""FIAT DUNA 14 MPI (1994 AL 2001)"", ""FIAT DUNA 15 (1988 AL 1995)"", ""FIAT DUNA 16 (1991 AL 2000)"", ""FIAT DUNA 17D (1999 AL 2001)"", ""FIAT ELBA 15 (1988 AL 1997)"", ""FIAT ELBA 17D (1987 AL 1997)"", ""FIAT FIGRINO 13 &V FIRE (2005 AL 2015)"", ""FIAT FIGRINO 13 MPI (2002 AL 2006)"", ""FIAT FIORINO 13D (1989 AL 1998)"", ""FIAT FIORINO LAN (1989 AL 1998)"", ""FIAT FIORINO 17D (1994 AL 2006)"", ""FIAT FIGRUNG LAN (1996 AL 2000)"", ""FIAT FIGRUNG 16 (1996 AL 2000)"", ""FIAT FIGRUNG 17D (1996 AL 2000)"", ""FIAT UNG 10 (1993 AL 1995)"", ""FIAT UNG 11 IE (1992 AL 1996)"", ""FIAT UNG 13 8V FIRE (2004 AL 2016)"", ""FIAT UNG 13 D (1991 AL 1994)"", ""FIAT UNG 13 MPI (2002 AL 2005)"", ""FIAT UNG 14 (1992 AL 2001)"", ""FIAT UNG 14 IE 705 (1991 AL 1995)"", ""FIAT UNG 14 TURBO (1994 AL 1995)"", ""FIAT UNG 15 (1988 AL 1994)"", ""FIAT UNG 16 (1992 AL 1999)"", ""FIAT UNG 17D (1994 AL 2000)""]",28,"[""POSICION: DELANTERO"", ""LADO: AMBOS""]",2,"[""COFAP: MP32225"", ""COFAP: MP32316"", ""CORVEN: 34156"", ""FIAT: 50013572"", ""FIAT: 7754834"", ""FRIC ROT: 44426MX"", ""FRIC-ROT: 44426MX"", ""MONROE: 44426MI"", ""NAKATA: 5E31057"", ""SACHS: 2313G"", ""SACHS: 316050"", ""SADAR: 60016HOP"", ""TRW: JGM45225:009""]",13,,,66.4242
JGM4534S,https://icepar.specparts.shop/products/detail?slug=trw_jgm4534s-61592,87,,JGM4534S,AMORT T FIAT DUNA (NAFTA / DIESEL) SEDAN Y  WEEKEND/ UNO 92-04/98,FRM 44427MX Corven 34157 Monroe 44427MI Cofap MP30094 Nakata SE30761 Sadar 60009HOP SACHS 316-053,"[""FIAT DUNA 13 (CARBURADOR) (1988 AL 2001)"", ""FIAT DUNA 13 D (1988 AL 1998)"", ""FIAT DUNA 13 MPI (1988 AL 2001)"", ""FIAT DUNA 14 MPI (1994 AL 2001)"", ""FIAT DUNA 15 (1988 AL 1995)"", ""FIAT DUNA 16 (1991 AL 2000)"", ""FIAT DUNA 17D (1999 AL 2001)"", ""FIAT ELBA 15 (1988 AL 1997)"", ""FIAT ELBA 17D (1987 AL 1997)"", ""FIAT FIORINO 13D (1993 AL 1998)"", ""FIAT UNG 10 (1993 AL 1995)"", ""FIAT UNG 11 IE (1992 AL 1996)"", ""FIAT UNG 13 8V FIRE (2004 AL 2016)"", ""FIAT UNG 13 D (1991 AL 1994)"", ""FIAT UNG 13 MPI (2002 AL 2005)"", ""FIAT UNG 14 (1992 AL 2001)"", ""FIAT UNG 14 IE 705 (1991 AL 1995)"", ""FIAT UNG 14 TURBO (1994 AL 1995)"", ""FIAT UNG 15 (1988 AL 1994)"", ""FIAT UNG 16 (1992 AL 1999)"", ""FIAT UNG 17D (1994 AL 2000)""]",21,"[""LADO: AMBOS"", ""POSICION: TRASERO""]",2,"[""COFAP: MP30094"", ""CORVEN: 34157"", ""CORVEN: 34259"", ""FIAT: 50013573"", ""FRIC ROT: 44464MX"", ""FRIC-ROT: 44427MX"", ""MONROE: 44427Ml"", ""MONROE: 44464MI"", ""NAKATA: 5E30761"", ""SACHS: 2318G"", ""SACHS: 316053"", ""SADAR: 60009HOP"", ""TRW: JGM45345:009""]",13,,,57.5313
JGT5476S,https://icepar.specparts.shop/products/detail?slug=trw_jgt5476s-61593,87,,JGT5476S,AMORT T FIAT FIORINO UNO-DUNA (FURGON Y PICK UP) 96->,FRM 38038MX Corven 42334 Monroe 38038MI Cofap GL12099 Nakata HG36032 Sadar 10324HOP SACHS 316-038,"[""FIAT DUNA 14 MPI (1994 AL 2001)"", ""FIAT FIGRINO 13 &V FIRE (2005 AL 2015)"", ""FIAT FIGRINO 13 MPI (2002 AL 2006)"", ""FIAT FIORINO 13D (1989 AL 1997)"", ""FIAT FIORINO LAN (1989 AL 1998)"", ""FIAT FIORINO 17D (1994 AL 2006)"", ""FIAT FIGRUNG LAN (1996 AL 2000)"", ""FIAT FIGRUNG 16 (1996 AL 2000)"", ""FIAT FIGRUNG 17D (1996 AL 2000)"", ""FIAT STRADA 13 16V MULTUET (2010 AL 2022)"", ""FIAT STRADA 13 8V FIRE (2004 AL 2005)"", ""FIAT STRADA 14 8V FIRE (2009 AL 2022)"", ""FIAT STRADA 14 CS (2020 AL 2022)"", ""FIAT STRADA 16 16V E-TORQ (2010 AL 2022)"", ""FIAT STRADA 17 TD (1999 AL 2010)"", ""FIAT STRADA 18 8V (2005 AL 2011)""]",16,"[""LADO: AMBOS"", ""POSICION: TRASERO""]",2,"[""COFAP: GL12099"", ""CORVEN: 42334"", ""FIAT: 46558914"", ""FIAT: 51842501"", ""FRIC ROT: 38038MX"", ""FRIC-ROT: 38038MX"", ""MONROE: 334400"", ""MONROE: 38038MI"", ""NAKATA: HG36032"", ""SACHS: 2044G"", ""SACHS: 316038"", ""SADAR: 10324HOP"", ""TRW: JGT54765:009""]",13,,,52.3557
JGT6230S,https://icepar.specparts.shop/products/detail?slug=trw_jgt6230s-61594,87,,JGT6230S,AMORT T FIAT IDEA / PUNTO 05->,FRM 83830MX Corven 42446G Monroe 83830MI Cofap GB47946 Nakata HG31133 Sadar 10330GOP SACHS 316-033,"[""FIAT IDEA 1.4 &V FIRE (2007 AL 2018)"", ""FIAT IDEA 1.6 16V E-TORQ (2010 AL 2020)"", ""FIAT IDEA 1.8 &V (2005 AL 2011)"", ""FIAT LINEA 18 16V E-TORQ (2011 AL 2018)"", ""FIAT LINEA 19 16¥ (2009 AL 2011)"", ""FIAT PUNTO 1.2 (1994 AL 1999)"", ""FIAT PUNTO 1.3 16V MULTUET (2008 AL 2011)"", ""FIAT PUNTO 1.4 8V FIRE (2007 AL 2020)"", ""FIAT PUNTO 1.6 16V E-TORQ (2011 AL 2022)"", ""FIAT PUNTO 1.8 &¥V (2007 AL 2011)""]",10,"[""POSICION: TRASERO"", ""LADO: AMBOS""]",2,"[""COFAP: GB47946"", ""CORVEN: 42446G"", ""FRIC-ROT: 83830MX"", ""MONROE: 83830MI"", ""SACHS: 2014G"", ""SACHS: 316033"", ""SADAR: 10330GOP""]",7,,,38.4793
