Segmento,Marca,Modelo,Versión,Año,error,processing_seconds
AUTOMÓVILES,PEUGEOT,306,2.0,1997,Timeout global de extracción agotado (10s),12.6740
AUTOMÓVILES,PEUGEOT,306,2.0 16V,1997,Timeout global de extracción agotado (10s),12.5230
AUTOMÓVILES,PEUGEOT,306,2.0 HDI,2000,Timeout global de extracción agotado (10s),13.4488
AUTOMÓVILES,PEUGEOT,306,2.0 HDI,2001,Timeout global de extracción agotado (10s),11.9429
AUTOMÓVILES,PEUGEOT,307,1.6 110CV,2001,Timeout global de extracción agotado (10s),13.0918
AUTOMÓVILES,PEUGEOT,307,1.6 110CV,2002,Timeout global de extracción agotado (10s),10.4528
AUTOMÓVILES,PEUGEOT,307,1.6 HDI,2005,Timeout global de extracción agotado (10s),13.4611
AUTOMÓVILES,PEUGEOT,307,1.6 HDI,2006,Timeout global de extracción agotado (10s),10.9803
AUTOMÓVILES,PEUGEOT,307,2.0,2001,Timeout global de extracción agotado (10s),12.9433
AUTOMÓVILES,PEUGEOT,307,2.0,2002,Timeout global de extracción agotado (10s),10.0388
AUTOMÓVILES,PEUGEOT,307,2.0 138CV,2005,Timeout global de extracción agotado (10s),13.3633
AUTOMÓVILES,PEUGEOT,307,2.0 143CV,2005,Timeout global de extracción agotado (10s),12.9569
AUTOMÓVILES,PEUGEOT,307,2.0 180CV,2005,Timeout global de extracción agotado (10s),12.2605
AUTOMÓVILES,PEUGEOT,307,2.0 HDI,2001,Timeout global de extracción agotado (10s),11.8673
AUTOMÓVILES,PEUGEOT,307,2.0 HDI,2002,Timeout global de extracción agotado (10s),11.4865
AUTOMÓVILES,PEUGEOT,307,2.0 HDI 110CV,2006,Timeout global de extracción agotado (10s),12.5879
AUTOMÓVILES,PEUGEOT,307,2.0 HDI 90CV,2006,Timeout global de extracción agotado (10s),13.9325
AUTOMÓVILES,PEUGEOT,307,2.0 HDI 90CV,2007,Timeout global de extracción agotado (10s),10.2728
AUTOMÓVILES,PEUGEOT,308,1.6 HDI,2011,Timeout global de extracción agotado (10s),11.9971
AUTOMÓVILES,PEUGEOT,308,1.6 HDI,2015,Timeout global de extracción agotado (10s),11.9851
AUTOMÓVILES,PEUGEOT,308,1.6 VTI,2011,Timeout global de extracción agotado (10s),12.6184
AUTOMÓVILES,PEUGEOT,308,1.6 VTI,2015,Timeout global de extracción agotado (10s),12.6336
AUTOMÓVILES,PEUGEOT,308,2.0 16V,2011,Timeout global de extracción agotado (10s),13.1120
AUTOMÓVILES,PEUGEOT,308,2.0 16V,2015,Timeout global de extracción agotado (10s),13.3774
AUTOMÓVILES,PEUGEOT,405,1.6,1992,Timeout global de extracción agotado (10s),11.6645
AUTOMÓVILES,PEUGEOT,405,1.8,1993,Timeout global de extracción agotado (10s),13.3905
AUTOMÓVILES,PEUGEOT,405,1.9,1991,Timeout global de extracción agotado (10s),13.0440
AUTOMÓVILES,PEUGEOT,405,1.9,1992,Timeout global de extracción agotado (10s),12.0769
AUTOMÓVILES,PEUGEOT,405,1.9,1998,Timeout global de extracción agotado (10s),12.1753
AUTOMÓVILES,PEUGEOT,405,1.9 SRD,1991,Timeout global de extracción agotado (10s),11.4079
AUTOMÓVILES,PEUGEOT,405,2.0,1991,Timeout global de extracción agotado (10s),12.3245
AUTOMÓVILES,PEUGEOT,406,1.8,1996,Timeout global de extracción agotado (10s),12.6391
AUTOMÓVILES,PEUGEOT,406,1.9 TD,1991,Timeout global de extracción agotado (10s),12.6802
AUTOMÓVILES,PEUGEOT,406,2.0,1996,Timeout global de extracción agotado (10s),13.0430
AUTOMÓVILES,PEUGEOT,406,2.0 (138CV),2000,Timeout global de extracción agotado (10s),13.5489
AUTOMÓVILES,PEUGEOT,406,2.0 HDI,2000,Timeout global de extracción agotado (10s),12.7289
AUTOMÓVILES,PEUGEOT,406,2.0 ST,1999,Timeout global de extracción agotado (10s),13.9661
AUTOMÓVILES,PEUGEOT,406,2.1 TD,1999,Timeout global de extracción agotado (10s),12.3327
AUTOMÓVILES,PEUGEOT,406,2.2,2001,Timeout global de extracción agotado (10s),13.4594
AUTOMÓVILES,PEUGEOT,407,2.0,2006,"Error HTTP en paginación: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",16.3338
AUTOMÓVILES,PEUGEOT,408,1.6 HDI,2011,Timeout global de extracción agotado (10s),13.5195
AUTOMÓVILES,PEUGEOT,408,1.6 HDI,2015,Timeout global de extracción agotado (10s),15.6827
AUTOMÓVILES,PEUGEOT,408,1.6 THP 163CV,2011,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0545
AUTOMÓVILES,PEUGEOT,408,1.6 THP 163CV,2015,"Error HTTP en paginación: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",16.3916
AUTOMÓVILES,PEUGEOT,508,2.2 HDI 200CV,2012,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0539
AUTOMÓVILES,PEUGEOT,605,2.1 TDI,1992,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0488
AUTOMÓVILES,PEUGEOT,806,2.0,1993,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0464
AUTOMÓVILES,PEUGEOT,806,2.0,1994,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0696
AUTOMÓVILES,PEUGEOT,806,2.0 ST,2000,"Error HTTP en paginación: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",16.8420
AUTOMÓVILES,PEUGEOT,2008,1.6 THP 165CV,2016,"Error HTTP en paginación: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",16.9712
AUTOMÓVILES,PEUGEOT,2008,1.6 THP 165CV TIPTRONIC,,"Error HTTP en paginación: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",16.8839
AUTOMÓVILES,PEUGEOT,2008,1.6 VTI,2019,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0705
AUTOMÓVILES,PEUGEOT,2008,1.6 VTI,2020,"Error HTTP inicial: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",10.0610
AUTOMÓVILES,PEUGEOT,3008,2.0 HDI,2013,"Error HTTP en paginación: HTTPSConnectionPool(host='icepar.specparts.shop', port=443): Read timed out. (read timeout=10)",17.9094
AUTOMÓVILES,PEUGEOT,EXPERT,1.6 HDI,2008,Timeout global de extracción agotado (10s),14.3564
AUTOMÓVILES,PEUGEOT,EXPERT,1.9D,1999,Timeout global de extracción agotado (10s),12.5052
AUTOMÓVILES,PEUGEOT,PARTNER,1.4I,2002,Timeout global de extracción agotado (10s),12.9550
