codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
LE3333101,https://icepar.specparts.shop/products/detail?slug=zf_le3333101-374131,539,,LE3333101,Extremo de Direccion Mercedes Benz Camion,Extremo de Direccion Mercedes Benz Camion  _x000D_,[],0,[],0,[],0,,,2.6982
TK326790,https://icepar.specparts.shop/products/detail?slug=tekbond_tk326790-368093,555,,TK326790,ADHESIVO ANAEROBICO TRABA DE ROSCAS 115 - 10gr blister,"ADHESIVO ANAEROBICO TRABA DE ROSCAS 115 - 10gr blister Aplicación: Es indicado para tuercas, tornillos y prisioneros en general que necesitan desarmados constantes. Características: Es un adhesivo anaerobio monocomponente, que después de aplicado evita XY","[""UNIVERSAL UNIVERSAL (0 AL 2026)""]",1,[],0,[],0,,,7.1009
TK326812,https://icepar.specparts.shop/products/detail?slug=tekbond_tk326812-368103,555,,TK326812,ADHESIVO ANAEROBICO TRABA DE ROSCAS 120 - 10gr blister,"ADHESIVO ANAEROBICO TRABA DE ROSCAS 120 - 10gr blister Aplicación: Se recomienda principalmente para el bloqueo de roscas, tornillos, tuercas y prisioneros de medio y grande porte que necesitan alta resistencia al desarmado. Características: Es un adhes","[""UNIVERSAL UNIVERSAL (0 AL 2026)""]",1,[],0,[],0,,,6.1432
OC1769,https://icepar.specparts.shop/products/detail?slug=mahle_oc1769-1151255,566,,OC1769,FILTRO ACEITE Renault Kwid Motor 1.0L B4D-405 66cv Nafta 11.2017->,MANN: W66/2 FRAM: OEM: OE: 152088127R,"[""RENAULT KWID 1.0 (2017 AL 2026)""]",1,"[""DIAMETRO EXTERIOR DE CUERPO: 65 mm"", ""TIPO DE ROSCA: M20 x 15"", ""TIPO: UNIDAD SELLADA"", ""ALTURA: 50 mm""]",4,[],0,,,13.8588
HX302D,https://icepar.specparts.shop/products/detail?slug=mahle_hx302d-1151274,568,,HX302D,FILTRO TRANSMISION Corolla 1.6 - 1.8,MANN: FRAM: OEM:Toyota 35330-0W020 / 35330-20020 / 35330-0W021 ,"[""TOYOTA COROLLA 18 (2008 AL 2014)"", ""TOYOTA COROLLA 18 16V MT (2017 AL 2026)"", ""TOYOTA COROLLA 18 HV ECVT HIBRID (2019 AL 2026)""]",3,"[""ALTURA: 37.50 mm"", ""LONGITUD: 182.30 mm"", ""ANCHO: 163.30 mm""]",3,[],0,,,17.9570
HX254D,https://icepar.specparts.shop/products/detail?slug=mahle_hx254d-1151276,568,,HX254D,FILTRO TRANSMISION HYUNDAI Elantra Tucson KIA Cerato Sportage Sorento,MANN: FRAM: OEM:Hyundai 46321-3B600 / 4632126000 ,"[""HYUNDAI ELANTRA 18 16V (2013 AL 2015)"", ""KIA SORENTO 2.4 DOHC (2010 AL 2015)""]",2,"[""ALTURA: 50.5 mm"", ""ANCHO: 131 mm"", ""LONGITUD: 187 mm""]",3,[],0,,,16.0656
HX299,https://icepar.specparts.shop/products/detail?slug=mahle_hx299-1151277,568,,HX299,FILTRO TRANSMISION CHEVROLET Cruze 1.8 Onix 1.4 Sonic 1.6 Spin 1.8,MANN: FRAM: OEM:GM 24237508 ,"[""CHEVROLET COBALT 18 8V MT (2016 AL 2026)"", ""CHEVROLET ONIX 1.4 &V AT (2014 AL 2020)"", ""CHEVROLET ONIX 1.4 &V MT (2019 AL 2026)"", ""CHEVROLET SPIN 18 &V AT (2019 AL 2026)"", ""CHEVROLET SPIN 18 &V MT (2012 AL 2026)""]",5,"[""ALTURA: 71mm"", ""LONGITUD: 256 mm"", ""ANCHO: 137.70 mm""]",3,"[""JAPANPARTS: FATOQ3"", ""TECFIL: FCA1552"", ""WEGA: WFC915""]",3,,,27.7134
HX230KIT,https://icepar.specparts.shop/products/detail?slug=mahle_hx230kit-1151283,568,,HX230KIT,FILTRO TRANSMISIÓN MB C180/C200/C250/C280 7G-Tronic Plus,,[],0,"[""ALTURA: 54.5 mm"", ""ANCHO: 175 mm"", ""LONGITUD: 267.5 mm""]",3,"[""HENGST: EG&841HD449"", ""JAPANPARTS: FAT180"", ""MANN-FILTER: H27001"", ""OEM: 2202710180"", ""OEM: 2202710380"", ""OEM: 2202770095"", ""OEM: 2212770000"", ""OEM: 2212770100"", ""OEM: 2222772000"", ""TECFIL: FCA1576"", ""WEGA: WFC926""]",11,,,26.6442
HX301D,https://icepar.specparts.shop/products/detail?slug=mahle_hx301d-1151284,568,,HX301D,FILTRO TRANSMISION S10 2.8 Duramax 2012-> / 3.6 Duramax 2012->,MANN: FRAM: OEM:GM 24236933 / 24236517 ,"[""CHEVROLET 5-10 2.8 CDTI 180CV (2012 AL 2014)"", ""CHEVROLET 5-10 2.8 CDTI 200CV (2013 AL 2016)"", ""CHEVROLET 5-10 2.8 CDTI 200CV AT (2016 AL 2026)"", ""CHEVROLET 5-10 2.8 CDTI 200CV HC AT (2016 AL 2026)"", ""CHEVROLET 5-10 2.8 CDTI 200CV HC MT (2016 AL 2022)"", ""CHEVROLET 5-10 2.8 CDTI 200CV MT (2016 AL 2026)"", ""CHEVROLET 5-10 2.8 CDTIZ71 200CV (2022 AL 2026)"", ""CHEVROLET TRAILBLAZER 2.8 CDTI AT (2012 AL 2022)"", ""CHEVROLET TRAILBLAZER 2.8 CDTI AT 4X4 (2019 AL 2026)""]",9,"[""ALTURA: 159 mm"", ""LONGITUD: 163.5 mm""]",2,[],0,,,23.0528
LX5994,https://icepar.specparts.shop/products/detail?slug=mahle_lx5994-1135373,586,,LX5994,FILTRO AIRE RENAULT Duster 1.6 115cv (2024 en adelante),Renault: 165466859R; Wega: FAP9306,"[""RENAULT DUSTER OROCH 13 TCE 163 2WD CVTPICK-UP CABINA DOBLE (2022 AL 2026)"", ""RENAULT DUSTER GOROCH 13 TCE 163 4WDPICK-UP CABINA DOBLE (2022 AL 2026)"", ""RENAULT DUSTER PH2 13T 4X2 CVT (2021 AL 2026)"", ""RENAULT DUSTER PH2 L3T 4X4 (2021 AL 2026)"", ""RENAULT DUSTER PH2 16 16¥V CVT (2017 AL 2026)"", ""RENAULT DUSTER PH2 16 16¥V MT (2017 AL 2026)""]",6,"[""ALTURA: 64mm"", ""LARGO: 223 mm"", ""ANCHO: 124 mm""]",3,"[""HENGST: E2266L"", ""TECFIL: ARLS145"", ""VOX: HLP5145"", ""WEGA: FAP9306""]",4,,,29.9918
