codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
10006HRP,https://icepar.specparts.shop/products/detail?slug=sadar_10006hrp-35457,13,,10006HRP,AMORT TRA Fiat 600 57/81 Hidráulico Rally,Fiat 600 57/81 Tras Hidráulico Rally_x000D_,"[""FIAT 600 0.9 (1965 AL 1980)""]",1,"[""LONGITUD TOTAL EXTENDIDO: 261 mm"", ""LONGITUD TOTAL COMPRIMIDO: 183 mm"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: E 3/8 X2"", ""TIPO DE ESPIGA DE ANCLAJE INFERIOR: E 3/8X 2"", ""TIPO DE ANCLAJE INFERIOR: ESPIGA"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""POSICION: TRASERO"", ""LADO: AMBOS""]",8,[],0,,,20.2208
10011GOP,https://icepar.specparts.shop/products/detail?slug=sadar_10011gop-35460,13,,10011GOP,AMORT TRA Fiat Palio/Siena 97/.. Hidráulico Original,Fiat Palio/Siena 97/..Tras Hidráulico Original_x000D_ FRM 83741MX Corven 42298G Monroe 83741MI Cofap GBL1119 Nakata HG31039 Sachs 316-055 TRW JGT5492S,"[""FIAT PALIO 13 16V FIRE (2001 AL 2007)"", ""FIAT PALIO 13 MPI (1999 AL 2004)"", ""FIAT PALIO 14 8V FIRE (2008 AL 2020)"", ""FIAT PALIO 16 16V TORQUE (1997 AL 2005)"", ""FIAT PALIO 16 SPI (1997 AL 2001)"", ""FIAT PALIO 17 TD (1997 AL 2008)"", ""FIAT PALIO 18 8V (2004 AL 2010)"", ""FIAT PALIO 18 R (2006 AL 2007}"", ""FIAT SIENA 13 16V FIRE (2001 AL 2007}"", ""FIAT SIENA 14 &V FIRE (2006 AL 2017)"", ""FIAT SIENA 16 16V E-TORQ (2010 AL 2020)"", ""FIAT SIENA 16 16V TORQUE (2001 AL 2003)"", ""FIAT SIENA 16 SPI GNC (2000 AL 2001)"", ""FIAT SIENA 17 TD (1997 AL 2010)"", ""FIAT SIENA 18 &V (2004 AL 2011)""]",15,"[""LONGITUD TOTAL EXTENDIDO: 531 mm"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""LONGITUD TOTAL COMPRIMIDCO: 317 mm"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 12,5x 91"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 10 x 40""]",9,"[""COFAP: GBL1119"", ""CORVEN: 42298G"", ""FRIC ROT: 83741MX"", ""FRIC-ROT: 83741MX"", ""MONROE: 83741MI"", ""SACHS: 2330G"", ""SACHS: 316055"", ""TRW: JGT54925""]",8,,,62.6266
10011HRP,https://icepar.specparts.shop/products/detail?slug=sadar_10011hrp-35461,13,,10011HRP,AMORT TRA Fiat Palio/Siena 97/.. Hidráulico Rally,Fiat Palio/Siena 97/..Tras Hidráulico Rally_x000D_,"[""FIAT PALIO 13 16V FIRE (2001 AL 2007)"", ""FIAT PALIO 13 MPI (1999 AL 2004)"", ""FIAT PALIO 14 8V FIRE (2008 AL 2009)"", ""FIAT PALIO 16 16V TORQUE (1997 AL 2005)"", ""FIAT PALIO 16 SPI (1997 AL 2001)"", ""FIAT PALIO 17 TD (1997 AL 2008)"", ""FIAT PALIO 18 R (2006 AL 2007}"", ""FIAT SIENA 13 16V FIRE (2001 AL 2005)"", ""FIAT SIENA 14 &V FIRE (2009 AL 2017)"", ""FIAT SIENA 16 16V TORQUE (2001 AL 2002)"", ""FIAT SIENA 16 SPI GNC (2000 AL 2001)"", ""FIAT SIENA 17 TD (1997 AL 2003)""]",12,"[""LONGITUD TOTAL EXTENDIDO: 461 mm"", ""LONGITUD TOTAL COMPRIMIDO: 280 mm"", ""LADO: AMBOS"", ""POSICION: TRASERO"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 12,5x 91"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 10 x 40""]",9,"[""CORVEN: 5C15298""]",1,,,41.5368
10034GOP,https://icepar.specparts.shop/products/detail?slug=sadar_10034gop-35481,14,,10034GOP,AMORT TRA Chevrolet Astra 99,Mercedes Benz MS 220-S/220-SE/78 Del Hidráulico Original_x000D_ FRM 83796MX Corven 42225G Monroe SP243 Cofap GBL1085 Nakata HG30873 Sachs 316-183 TRW JGT5472S,"[""CHEVROLET ASTRA 17 TDI (1996 AL 1998)"", ""CHEVROLET ASTRA 18 8V (2000 AL 2003)"", ""CHEVROLET ASTRA 20 16V (2002 AL 2003)"", ""CHEVROLET ASTRA 20 8V (1998 AL 2012)"", ""CHEVROLET ASTRA 20 TD (1999 AL 2003)"", ""CHEVROLET ASTRA 20 TD 16V (1998 AL 2008)"", ""CHEVROLET ASTRA 2.4 16V (2005 AL 2010)""]",7,"[""LADO: AMBOS"", ""POSICION: TRASERO"", ""LONGITUD TOTAL EXTENDIDO: 385 mm"", ""LONGITUD TOTAL COMPRIMIDO: 264 mm"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: GM 12 x 48"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 14 x 40""]",9,"[""COFAP: GBL1085"", ""CORVEN: 42225G"", ""FRIC ROT: 83796MX"", ""FRIC-ROT: 83796MX"", ""MONROE: 837 96MI"", ""MONROE: 5P243"", ""SACHS: 316183"", ""SACHS: 5110G"", ""TRW: JGT54725""]",9,,,43.4575
10091HOP,https://icepar.specparts.shop/products/detail?slug=sadar_10091hop-35504,14,,10091HOP,AMORT TRA Ford Sierra Todos 84/93 Hidráulico Original,Ford Sierra Todos 84/93 Tras Hidráulico Original_x000D_ FRM 38101MX Corven 42044 Monroe 38101MI Cofap B47650 Nakata - Sachs 316-081,"[""FORD SIERRA 16 (1984 AL 1992)"", ""FORD SIERRA 2.3 GHIA (1984 AL 1995)""]",2,"[""LONGITUD TOTAL COMPRIMIDC: 421 mm"", ""LONGITUD TOTAL EXTENDIDO: 667 mm"", ""ES EQUIPO ORIGINAL: 51"", ""POSICION: TRASERO"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 10 x 50"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 10x 32"", ""LADO: AMBOS""]",10,"[""COFAP: B47650"", ""CORVEN: 42044"", ""FRIC ROT: 38101MX"", ""FRIC-ROT: 38101MX"", ""MONROE: 38101MI"", ""SACHS: 3050"", ""SACHS: 316081""]",7,,,37.0386
10098HOP,https://icepar.specparts.shop/products/detail?slug=sadar_10098hop-35510,14,,10098HOP,AMORT TRA Renault Expres 95/.. Hidráulico Original,Renault Expres 95/.. Tras Hidráulico Original_x000D_ FRM 38037MX Corven 42327 Monroe 38037MI Cofap BL1092 Nakata - Sachs 316-135,"[""RENAULT EXPRESS 1.6 16V (1996 AL 2001)"", ""RENAULT EXPRESS 1.9D (1995 AL 2002)""]",2,"[""LONGITUD TOTAL COMPRIMIDCO: 325 mm"", ""LONGITUD TOTAL EXTENDIDO: 383 mm"", ""ES EQUIPO ORIGINAL: 51"", ""POSICION: TRASERO"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12 x 38"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 12x 38"", ""LADO: AMBOS""]",10,"[""COFAP: BL1092"", ""CORVEN: 42327"", ""FRIC ROT: 38037MX"", ""FRIC-ROT: 38037MX"", ""MONROE: 38037Ml"", ""SACHS: 316135"", ""SACHS: 4068"", ""TRW: JGT67545""]",8,,,36.3056
10110GOP,https://icepar.specparts.shop/products/detail?slug=sadar_10110gop-35514,15,,10110GOP,AMORT TRA Renault R19 Todos Hidráulico Original,Renault R19 Todos Tras Hidráulico Original_x000D_ FRM 38024MX Corven 42137G Monroe 38024MI Cofap B47813 Nakata AC30814 Sachs 316-133,"[""RENAULT R19 14 (1993 AL 1998)"", ""RENAULT R19 16 (1994 AL 2001)"", ""RENAULT R19 161 (1993 AL 2001)"", ""RENAULT R19 17 (1989 AL 1998)"", ""RENAULT R19 18 (1993 AL 1998)"", ""RENAULT R19 18 16V (1989 AL 1997)"", ""RENAULT R19 L9D (1991 AL 1998)""]",7,"[""POSICION: TRASERO"", ""LADO: AMBOS"", ""LONGITUD TOTAL EXTENDIDO: 529 mm"", ""LONGITUD TOTAL COMPRIMIDCO: 397 mm"", ""ES EQUIPO ORIGINAL: 51"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12 x 38"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 11x63""]",10,"[""COFAP: B47813"", ""CORVEN: 42137G"", ""FRIC ROT: 38024MX"", ""FRIC-ROT: 38024MX"", ""MONROE: 38024MI"", ""SACHS: 316133"", ""SACHS: 4060G"", ""TRW: JGT67625""]",8,,,42.8613
10169HOP,https://icepar.specparts.shop/products/detail?slug=sadar_10169hop-35524,15,,10169HOP,AMORT TRA Peugeot 405/Patner/Citroén Berlingo Hidráulico Origina,Peugeot 405/Patner/Citroén Berlingo Tras Hidráulico Original_x000D_ FRM 38025MX Corven 42194G Monroe 38025MI Cofap GB47826 Nakata - Sachs 316-206,"[""PEUGEOT 405 14 (1992 AL 1997}"", ""PEUGEOT 405 1 (1993 AL 2003)"", ""PEUGEOT 405 1.9 (1991 AL 1998)"", ""PEUGEOT 405 1.9 SRD (1991 AL 1997)"", ""PEUGEOT 405 2.0 (1991 AL 1997}"", ""PEUGEOT 405 2.0 16¥V (1991 AL 1995)""]",6,"[""LONGITUD TOTAL COMPRIMIDCO: 251 mm"", ""LONGITUD TOTAL EXTENDIDO: 381 mm"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""ES EQUIPO ORIGINAL: 51"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 16 x 45"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 16x 45""]",10,"[""COFAP: GB47826"", ""CORVEN: 42194"", ""CORVEN: 42194G"", ""FRIC ROT: 38025MX"", ""FRIC-ROT: 38025MX"", ""MONROE: 38025Ml"", ""SACHS: 316206"", ""SACHS: 7020G"", ""TRW: JGT67505""]",9,,,43.4535
10170GOP,https://icepar.specparts.shop/products/detail?slug=sadar_10170gop-35526,15,,10170GOP,AMORT TRA Peugeot 205/306/Citroén Xsara/ZX Hidráulico Original,Peugeot 205/306/Citroén Xsara/ZX Tras Hidráulico Original_x000D_ FRM 38029MX Corven 42401G Monroe 38029MI Cofap B47615 Nakata HG31168 Sachs 316-208,"[""CITROEN XSARA 16 16V (1992 AL 1993, 2003 AL 2005)"", ""CITROEN XSARA 18 16V (1998 AL 2002)"", ""CITROEN XSARA 19 TD (1999 AL 2001)"", ""CITROEN XSARA 19D (1998 AL 2005)"", ""CITROEN XSARA 2.0 16V (1999 AL 2001)"", ""CITROEN XSARA 2.0 HDI (2001 AL 2005)"", ""CITROEN ZX 141 (1993 AL 1995, 2003 AL 2004)"", ""CITROEN ZX 18 (1993 AL 1996)"", ""CITROEN ZX 19 TD (1993 AL 1998)"", ""CITROEN ZX 19D (1993 AL 1999)"", ""CITROEN ZX 2.0 (1993 AL 1995)"", ""CITROEN ZX 2.0 16V (1993 AL 1999)"", ""PEUGEOT 205 1.1 (1992 AL 1995)"", ""PEUGEOT 205 1.41 (1991 AL 1999)"", ""PEUGEOT 205 1.4 (1985 AL 1987)"", ""PEUGEOT 205 1.8D (1992 AL 2000)"", ""PEUGEOT 205 1.9 (1989 AL 1997)"", ""PEUGEOT 306 1.41 (1996 AL 1998)"", ""PEUGEOT 306 1.4 (1995 AL 2000)"", ""PEUGEOT 306 18 16¥ (1997 AL 2001)"", ""PEUGEOT 306 1.4 8&V (1998 AL 1999)"", ""PEUGEOT 306 1.9 TD (1995 AL 2000)"", ""PEUGEOT 306 1.9 TDI (1999 AL 2002)"", ""PEUGEOT 306 1.9 XSD (1995 AL 1997)"", ""PEUGEOT 306 1.9 XSDT (1995 AL 1997)"", ""PEUGEOT 306 1.9D (1999 AL 2003)"", ""PEUGEOT 306 2.0 (1995 AL 2002)"", ""PEUGEOT 306 2.0 16¥V (1997 AL 1999)"", ""PEUGEOT 306 2.0 HDI (2000 AL 2003)""]",29,"[""LADO: AMBOS"", ""LONGITUD TOTAL EXTENDIDO: 329 mm"", ""POSICION: TRASERO"", ""LONGITUD TOTAL COMPRIMIDO: 241 mm"", ""ES EQUIPO ORIGINAL: 51"", ""TIPO DE PRESION: HIDRAULICA"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 14 x 40"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 12x 40""]",10,"[""COFAP: B47615"", ""CORVEN: 42333G"", ""CORVEN: 42401G"", ""FRIC ROT: 38029MX"", ""FRIC ROT: 38041MX"", ""FRIC-ROT: 38029MX"", ""FRIC-ROT: 38041MX"", ""MONROE: 38029MI"", ""MONROE: 38041MI"", ""SACHS: 316208"", ""SACHS: 316209"", ""SACHS: 7028G"", ""SACHS: 7030G"", ""TRW: JGT67425"", ""TRW: JGT67445""]",15,,,74.7967
10173HOP,https://icepar.specparts.shop/products/detail?slug=sadar_10173hop-35529,15,,10173HOP,AMORT DEL Toyota Hilux 4x4 D. Cab.Japonesa 93/95 Hidráulico Original,Toyota Hilux 4x4 D. Cab.Japonesa 93/95 Del Hidráulico Original_x000D_,"[""TOYOTA HILUX 2.0 (1993 AL 1996)"", ""TOYOTA HILUX 2.2 (1993 AL 1996)"", ""TOYOTA HILUX 2.4D (1992 AL 1997}"", ""TOYOTA HILUX 3.4 V6 (1987 AL 2000)""]",4,"[""LONGITUD TOTAL EXTENDIDO: 438 mm"", ""LONGITUD TOTAL COMPRIMIDCO: 273 mm"", ""POSICION: DELANTERO"", ""TIPO DE PRESION: HIDRAULICA"", ""ES EQUIPO ORIGINAL: 51"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12 x 32"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 11x50"", ""LADO: AMBOS""]",10,[],0,,,25.3939
