codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
37360GOP,https://icepar.specparts.shop/products/detail?slug=sadar_37360gop-35811,25,,37360GOP,AMORT. TRAS. NISSAN FRONTIER (09/14),_x000D_,"[""NISSAN FRONTIER 2.5 (2010 AL 2017)"", ""NISSAN FRONTIER 2.8 TDI ELECTRONIC (2006 AL 2009)""]",2,"[""LONGITUD TOTAL EXTENDIDO: 544 mm"", ""LADO: AMBOS"", ""LONGITUD TOTAL COMPRIMIDO: 343 mm"", ""POSICION: TRASERO"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 14 x 42"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 15x 37"", ""TIPO DE ANCLAJE INFERIOR: BUJE""]",8,"[""CORVEN: 62359G"", ""FRIC ROT: 84752MX"", ""SACHS: 318 340""]",3,,,30.0883
40001HOP,https://icepar.specparts.shop/products/detail?slug=sadar_40001hop-35812,25,,40001HOP,AMORT Ford F 4000 del 2000/.. Hidráulico Original,Ford F 4000 del 2000/.. Hidráulico Original_x000D_ FRM 60536 Corven 62450 Monroe - Cofap GL13080 Nakata HG36055 Sachs 316-066,"[""FORD F-4000 3.9 (1999 AL 2011)""]",1,"[""LONGITUD TOTAL COMPRIMIDO: 368 mm"", ""LONGITUD TOTAL EXTENDIDO: 593 mm"", ""POSICION: DELANTERO"", ""LADO: AMBOS"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12 x 38"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 16x 36""]",8,"[""CORVEN: 62450"", ""FRIC ROT: 60536"", ""MONROE: 60536"", ""SACHS: 3011/3""]",4,,,28.9686
40003HOP,https://icepar.specparts.shop/products/detail?slug=sadar_40003hop-35814,25,,40003HOP,AMORT DEL I.K.A Gladiator 71/79/Jeep 56/79 Hidráulico Original,I.K.A Gladiator 71/79/Jeep 56/79 Del Hidráulico Original_x000D_ FRM 38939MX Corven 42110 Monroe 38939MI Cofap - Nakata - Sachs 316-127,[],0,"[""LONGITUD TOTAL EXTENDIDO: 440 mm"", ""LONGITUD TOTAL COMPRIMIDO: 290 mm"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 16x 36"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""POSICION: DELANTERO"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: G 16 x 36"", ""LADO: AMBOS""]",8,"[""CORVEN: 42110"", ""FRIC ROT: 38939MX"", ""FRIC-ROT: 38939MX"", ""MONROE: 38939MI"", ""SACHS: 316127"", ""SACHS: 4033""]",6,,,26.8118
40004HOP,https://icepar.specparts.shop/products/detail?slug=sadar_40004hop-35815,25,,40004HOP,AMORT TRA Ford F-100 XLT Super Duty Hidráulico Original,Ford F-100 XLT Super Duty tras. Hidráulico Original_x000D_ FRM 84743MX Corven 62551 Monroe 84743MI Cofap - Nakata - Sachs 316-067,"[""FORD F-100 3.9 TDI (1999 AL 2012)"", ""FORD F-100 4.2 V6 (1999 AL 2001)"", ""FORD F-100 4.20 MWM (1999 AL 2007)""]",3,"[""LONGITUD TOTAL COMPRIMIDO: 368 mm"", ""LONGITUD TOTAL EXTENDIDO: 593 mm"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 16x 36"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12 x46"", ""TIPO DE ANCLAJE INFERIOR: BUJE""]",8,"[""CORVEN: 62551"", ""FRIC ROT: 84743MX"", ""FRIC-ROT: 84743MX"", ""MONROE: 84743MI"", ""SACHS: 3014G"", ""SACHS: 316067""]",6,,,33.5123
40009HSP,https://icepar.specparts.shop/products/detail?slug=sadar_40009hsp-35818,25,,40009HSP,AMORT TRA Chev.C10 Apache/ F100/150 4x4/Peu P-Up Hidráulico Deportivo,Chev.C10 Apache/Ford F100/150 4x4/Peuge P-Up Tras Hidráulico Deportivo_x000D_,"[""FORD F-100 2.5 TDI (1993 AL 1999)"", ""FORD F-100 3.6 (1983 AL 1997)"", ""FORD F-100 3.9 TDI (1999 AL 2012)"", ""FORD F-100 3.9D 4X4 (1993 AL 1999)"", ""FORD F-100 4.2 V6 (1999 AL 2001)"", ""FORD F-100 4.20 MWM (1999 AL 2007)"", ""FORD F-100 4.20 MW 4X4 (1986 AL 2001)"", ""FORD F-100 4.3 TDI 4X4 (1995 AL 1999)"", ""FORD F-100 4.9D XLT (1993 AL 1997)"", ""FORD F-100 4.591 (1985 AL 1999)"", ""FORD F-150 2.5 TDI (1996 AL 2000)"", ""FORD F-150 3.9D (1986 AL 1997)"", ""FORD F-150 4.2 V6 (1996 AL 1998)"", ""PEUGEOT 504 2.0 G (1983 AL 2000)"", ""PEUGEOT 504 2.3 D (1987 AL 2000)""]",15,"[""LONGITUD TOTAL EXTENDIDO: 591 mm"", ""LONGITUD TOTAL COMPRIMIDO: 368 mm"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12,8 x 32"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 128 x 32""]",8,"[""COFAP: GL12343"", ""CORVEN: 62069"", ""FRIC ROT: 59602MX"", ""FRIC-ROT: 59602MX"", ""MONROE: 59602MI"", ""SACHS: 3056/3"", ""SACHS: 316083""]",7,,,50.6858
40011HSP,https://icepar.specparts.shop/products/detail?slug=sadar_40011hsp-35819,25,,40011HSP,AMORT DEL Ford F-100 61/65 Hidráulico Deportivo,Ford F-100 61/65 Del Hidráulico Deportivo_x000D_ FRM - Corven 62050 Monroe - Cofap - Nakata - Sachs 316-068,[],0,"[""LONGITUD TOTAL COMPRIMIDO: 338 mm"", ""LONGITUD TOTAL EXTENDIDO: 562 mm"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 11x 63"", ""LADO: AMBOS"", ""TIPO DE ANCLAJE INFERIOR: ESPIGA"", ""TIPO DE ESPIGA DE ANCLAJE INFERIOR: ESP 11 x 63"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""POSICION: DELANTERO""]",8,"[""CORVEN: 62050"", ""SACHS: 3015""]",2,,,22.5903
40014HSP,https://icepar.specparts.shop/products/detail?slug=sadar_40014hsp-35821,25,,40014HSP,AMORT DEL Dodge D100/200 P-Up /Camion D400/500 Hidráulico Deportiv,Dodge D100/200 P-Up 61/82 Del/Camion D400/500 Tras Hidráulico Deportivo_x000D_,"[""DODGE D100 3.7 (1965 AL 1980)"", ""DODGE D200 3.7 (1965 AL 1980)"", ""DODGE DP400 4.2 (1965 AL 1980)"", ""DODGE DP600 5.8 (19645 AL 1980)"", ""DODGE DP800 5.8 (1965 AL 1980)""]",5,"[""LONGITUD TOTAL EXTENDIDO: 639 mm"", ""LONGITUD TOTAL COMPRIMIDCO: 395 mm"", ""POSICION: DELANTERO"", ""LADO: AMBOS"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 16x 41"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: G 16 x41""]",8,"[""CORVEN: 62205"", ""FRIC ROT: 59030MX"", ""MONROE: 59030MI"", ""SACHS: 1009""]",4,,,34.4234
40015HSP,https://icepar.specparts.shop/products/detail?slug=sadar_40015hsp-35822,25,,40015HSP,AMORT TRA Dodge P-Up D-100/D-200 61/82 Hidráulico Deportivo,Dodge P-Up D-100/D-200 61/82 Tras Hidráulico Deportivo_x000D_,"[""DODGE D100 3.7 (1965 AL 1980)"", ""DODGE D200 3.7 (1965 AL 1980)""]",2,"[""LONGITUD TOTAL COMPRIMIDCO: 375 mm"", ""LONGITUD TOTAL EXTENDIDO: 595 mm"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""TIPO DE ANCLAJE INFERIOR: BUJE"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: G 16x 41"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: G 16 x41""]",8,"[""CORVEN: 62206"", ""FRIC ROT: 59073MX"", ""MONROE: 59073MI"", ""SACHS: 1010""]",4,,,30.7730
40023HSP,https://icepar.specparts.shop/products/detail?slug=sadar_40023hsp-35823,25,,40023HSP,AMORT TRA Chevr.C10 / A-20/Bonanza/Veraneio 85/90 Hidráulico Deportivo,Chevr.C10 63/73/ A-20/Bonanza/Veraneio 85/90 Tras Hidráulico Deportivo_x000D_ FRM 59071MX Corven 62094 Monroe 59071MI Cofap L12811 Nakata - Sachs 316-166,"[""CHEVROLET C-10 4.1 (1988 AL 1993)"", ""CHEVROLET C-10 4.2D (1988 AL 1993)""]",2,"[""LONGITUD TOTAL COMPRIMIDO: 333 mm"", ""LONGITUD TOTAL EXTENDIDO: 523 mm"", ""TIPO DE BUJE DE ANCLAJE INFERIOR: GM 12,8 x 35"", ""TIPO DE BUJE DE ANCLAJE SUPERIOR: GM 128 x35"", ""TIPO DE ANCLAJE SUPERIOR: BUJE"", ""POSICION: TRASERO"", ""LADO: AMBOS"", ""TIPO DE ANCLAJE INFERIOR: BUJE""]",8,"[""COFAP: L12811"", ""CORVEN: 62094"", ""FRIC ROT: 59071MX"", ""FRIC-ROT: 59071MX"", ""MONROE: 59071MI"", ""SACHS: 316166"", ""SACHS: 5018""]",7,,,34.1189
40031HSP,https://icepar.specparts.shop/products/detail?slug=sadar_40031hsp-35826,25,,40031HSP,AMORT DEL Ford F-100 66/92 Hidráulico Deportivo,FordF-100 66/92 Del Hidráulico Deportivo_x000D_ FRM 59014MX Corven 62054 Monroe 59014MI Cofap - Nakata - Sachs 316-070,"[""FORD F-100 3.6 (1983 AL 1997)""]",1,"[""LONGITUD TOTAL COMPRIMIDO: 253 mm"", ""LONGITUD TOTAL EXTENDIDO: 408 mm"", ""POSICION: DELANTERO"", ""LADO: AMBOS"", ""TIPO DE ESPIGA DE ANCLAJE INFERIOR: ESP 12 x63"", ""TIPO DE ESPIGA DE ANCLAJE SUPERIOR: ESP 12 x 63"", ""TIPO DE ANCLAJE SUPERIOR: ESPIGA"", ""TIPO DE ANCLAJE INFERIOR: ESPIGA""]",8,"[""CORVEN: 62054"", ""FRIC ROT: 59014MX"", ""FRIC-ROT: 59014MX"", ""MONROE: 59014MI"", ""SACHS: 3017/3"", ""SACHS: 316070""]",6,,,32.5291
