codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
TK326781,https://icepar.specparts.shop/products/detail?slug=tekbond_tk326781-212047,899,,TK326781,ADHESIVO INSTANTANEO - 2gr blister x 12 unidades (precio unitario), Características: Es un adhesivo a base de cianoacrilato desarrollado para pegados que necesitan alta velocidad de curado y excelente resistencia. (( gotita )),"[""UNIVERSAL UNIVERSAL (0 AL 2026)""]",1,[],0,[],0,,,6.5690
TK367191,https://icepar.specparts.shop/products/detail?slug=tekbond_tk367191-212054,900,,TK367191,ADHESIVO INSTANTANEO UV LUZ ULTRAVIOLETA - 4gr blister,ADHESIVO INSTANTANEO UV LUZ ULTRAVIOLETA - 4gr blister Aplicación: Haga reparaciones duraderas en segundos con la Super Cola UV Tekbond. Sólo tienes que resina y activar el lugar con la luz UV presente en la pluma para realizar una soldadura resistente c ,"[""UNIVERSAL UNIVERSAL (0 AL 2026)""]",1,[],0,[],0,,,6.2297
TK367244,https://icepar.specparts.shop/products/detail?slug=tekbond_tk367244-314984,900,,TK367244,PEGAMENTO DE RETROVISOR - 7gr,"PEGAMENTO DE RETROVISOR - 7gr  Aplicación: Es de fácil aplicación, cura en temperatura ambiente, recomendado para adhesión de espejos retrovisores como vidrio x metal; vidrio x vidrio y metal x metal.   Características: Tiene poco olor en comparación a o","[""UNIVERSAL UNIVERSAL (0 AL 2026)""]",1,[],0,[],0,,,6.1246
1313306013,https://icepar.specparts.shop/products/detail?slug=zf_1313306013-492071,900,,1313306013,1313306013 BULON DE BLOQUEO  LOCKIN,1313306013 BULON DE BLOQUEO  LOCKING PIN _x000D_,[],0,[],0,"[""OEM: 1662540""]",1,,,6.9225
AP9200,https://icepar.specparts.shop/products/detail?slug=paulucci_ap9200-342109,900,,AP9200,PERNO PEDAL DE EMBRAGUE FORD FIESTA / ECOSPORT (2003-2012),PERNO PEDAL DE EMBRAGUE FORD FIESTA / ECOSPORT (2003-2012) SX61-7L586-AA,"[""FORD ECOSPORT 1.4 TDCI (2003 AL 2011)"", ""FORD ECOSPORT 1.5 TDCI (2012 AL 2017)"", ""FORD ECOSPORT 1.6 16V (2012 AL 2018)"", ""FORD ECOSPORT 1.6 8V ROCAM (2003 AL 2013)"", ""FORD ECOSPORT 2.0 16V (2003 AL 2022)"", ""FORD ECOSPORT KINETIC 15 16V AT (2017 AL 2026)"", ""FORD ECOSPORT KINETIC 15 16V MT (2017 AL 2026)"", ""FORD ECOSPORT KINETIC 15 TDCI (2017 AL 2022)"", ""FORD ECOSPORT KINETIC 2.0 16V GDI AT (2017 AL 2022)"", ""FORD ECOSPORT KINETIC 2.0 16V GDI MT (2017 AL 2021)"", ""FORD FIESTA 1.4 TDCI (2002 AL 2011)"", ""FORD FIESTA 1.6 16V (2010 AL 2021)"", ""FORD FIESTA 1.6 8V (2002 AL 2013)"", ""FORD FIESTA 1.8D (1998 AL 2003)"", ""FORD FIESTA KINETIC 16 16V AT (2017 AL 2022)""]",15,[],0,[],0,,,21.8815
AP7304,https://icepar.specparts.shop/products/detail?slug=paulucci_ap7304-1128263,900,,AP7304,PERNO PEDAL + FIJACIÓN DE PEDAL,PERNO PEDAL + FIJACIÓN DE PEDAL,"[""FORD ECOSPORT 1.5 TDCI (2012 AL 2017)"", ""FORD ECOSPORT 1.6 16V (2012 AL 2018)"", ""FORD ECOSPORT 2.0 16V (2012 AL 2022)"", ""FORD FIESTA 1.6 16V (2010 AL 2021)"", ""FORD FIESTA KINETIC 16 16V AT (2017 AL 2022)""]",5,[],0,[],0,,,10.3872
191139,https://icepar.specparts.shop/products/detail?slug=presion_191139-342128,900,,191139,70211 CAÑO CONEX CHEV SILVERADO,,[],0,[],0,[],0,,,2.5504
191146,https://icepar.specparts.shop/products/detail?slug=presion_191146-342129,900,,191146,70212 CAÑO CONEX CHEV BLAZER S10,191146 CAÑO CONEXIÓN CON VALVULA BOMBA Y BOMBIN BLAZER S- 10		70212_x000D_,[],0,[],0,[],0,,,2.6421
