codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
HF615E,https://icepar.specparts.shop/products/detail?slug=hipperfreios_hf615e-19667,289,,HF615E,CAM FRE TRA NISSAN KICKS/VERSA,,"[""NISSAN KICKS 1.6 16V CVT (2017 AL 2026)"", ""NISSAN KICKS 1.6 16V MT (2017 AL 2026)""]",2,"[""CANTIDAD DE ORIFICIOS: 4"", ""DIAMETRO EXTERIOR DE CAMPANA: 245 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 205 mm"", ""ALTURA TOTAL: 60 mm"", ""ANCHO DE PISTA: 50 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 203 mm""]",6,[],0,,,19.4412
HF308B,https://icepar.specparts.shop/products/detail?slug=hipperfreios_hf308b-19717,290,,HF308B,CAM FRE TRA CHEVROLET TRACKER 1.4/1.8,,[],0,"[""ANCHO DE PISTA: 47 mm"", ""CANTIDAD DE ORIFICIOS: 5"", ""DIAMETRO EXTERIOR DE CAMPANA: 274 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 232 mm"", ""ALTURA TOTAL: 63 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 230 mm""]",6,[],0,,,13.4679
HF605B,https://icepar.specparts.shop/products/detail?slug=hipperfreios_hf605b-19758,292,,HF605B,CAM FRE TRA NISSAN FRONTIER 2.3 (2017-2022),,[],0,"[""ALTURA TOTAL: 86 mm"", ""ANCHO DE PISTA: 69 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 275 mm"", ""CANTIDAD DE ORIFICIOS: 6"", ""DIAMETRO EXTERIOR DE CAMPANA: 311 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 269 mm""]",6,[],0,,,12.8922
HF08F,https://icepar.specparts.shop/products/detail?slug=hipperfreios_hf08f-19778,292,,HF08F,CAM FRE TRA VOLKWAGEN POLO/VIRTUS 1.6 MSI,,[],0,"[""ALTURA TOTAL: 56.5 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 278 mm"", ""CANTIDAD DE ORIFICIOS: 5"", ""ANCHO DE PISTA: 46 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 228 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 229.5 mm""]",6,[],0,,,13.0263
RPTA00370,https://icepar.specparts.shop/products/detail?slug=trw_rpta00370-60439,292,,RPTA00370,CAM FRE TRA RENAULT 9-11-19-TWINGO-CLIO-LOGAN-SYMBOL (HF322/BD3030),CAMPANA DE FRENO RENAULT 9/11/19/Twingo 93/-RENAULT Clio s/ABS 93/-RENAULT Logan 1.6i 16V 07/-RENAULT Symbol Tod. Mod 09/- (HF322/BD3030) CODIGO ANTERIOR RPTA00770,"[""AGRALE 14000 14000 6X2 (2016 AL 2021)"", ""AGRALE MT 47 (2012 AL 2022)"", ""AGRALE MT MT 15.0 (2009 AL 2022)"", ""MERCEDES BENZ © 500 (2022 AL 2026)"", ""MERCEDES BENZ © 500 RS (2008 AL 2022)"", ""MERCEDES BENZ © 500 RSD (2008 AL 2026)"", ""MERCEDES BENZ © 500 UA (2008 AL 2012)"", ""RENAULT CLIO 12 16V (1999 AL 2020)"", ""RENAULT CLIO 14 (1992 AL 1995)"", ""RENAULT CLIO 15 DCI (2001 AL 2009)"", ""RENAULT CLIO 16 (1996 AL 1998)"", ""RENAULT CLIO 16 16V (1999 AL 2009)"", ""RENAULT CLIO 16 &V (1999 AL 2003)"", ""RENAULT CLIO 16 (1991 AL 2000)"", ""RENAULT CLIO 18 (1995 AL 1998)"", ""RENAULT CLIO L9D (1993 AL 2002)"", ""RENAULT CLIO 2.0 150CV (1994 AL 1996)"", ""RENAULT KOLEOS 2.5 16V (2013 AL 2016)"", ""RENAULT LOGAN 1.5 DCI (2007 AL 2014)"", ""RENAULT LOGAN 1. 16V (2007 AL 2010, 2013 AL 2021)"", ""RENAULT LOGAN 14 16V CVT (2019 AL 2022)"", ""RENAULT LOGAN 1.4 16V MT (2019 AL 2026)"", ""RENAULT LOGAN 1.6 8V (2008 AL 2022)"", ""RENAULT R11 14 (1984 AL 1999)"", ""RENAULT R11 14 TURBO (19386 AL 1989)"", ""RENAULT R11 16 (1987 AL 1999)"", ""RENAULT R19 14 (1993 AL 1998)"", ""RENAULT R19 16 (1994 AL 2001)"", ""RENAULT R19 161 (1993 AL 2001)"", ""RENAULT R19 17 (1989 AL 1998)"", ""RENAULT R19 18 (1993 AL 1998)"", ""RENAULT R19 18 16V (1989 AL 1997)"", ""RENAULT R19 L9D (1991 AL 1998)"", ""RENAULT R9 14 (1987 AL 1993)"", ""RENAULT R9 16 (1989 AL 2003)"", ""RENAULT SANDERO 1.5 DCI (2008 AL 2011)"", ""RENAULT SANDERG 1.6 16V (2008 AL 2026)"", ""RENAULT SANDERGO 1.6 16V CVT (2019 AL 2026)"", ""RENAULT SANDERG 1.6 16V GT CVT (2020 AL 2026)"", ""RENAULT SANDERG 1.6 16V GT MT (2020 AL 2026)"", ""RENAULT SANDERO 1.6 16V MT (2019 AL 2026)"", ""RENAULT SANDERGO 1.6 8V (2009 AL 2020)"", ""RENAULT STEPWAY 16 (2022 AL 2026)"", ""RENAULT SYMBOL 15 DCI (2009 AL 2013)"", ""RENAULT SYMBOL 16 16¥V (2009 AL 2014)"", ""RENAULT SYMBOL 16 8V (2009 AL 2012)"", ""RENAULT TWINGO 11 (1997 AL 2003)"", ""RENAULT TWINGO 1.2 (1992 AL 2000)""]",48,"[""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 182 mm"", ""CANTIDAD DE ORIFICIOS: 4"", ""DIAMETRO INTERIOR DE CAMPANA: 180.5 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 207.5 mm"", ""ALTURA TOTAL: 82.5 mm"", ""DIAMETRO DE ORIFICIO CENTRAL: 52 mm"", ""ANCHO DE PISTA: 51mm"", ""INCLUYE MAZA: 51"", ""POSICION: TRASERO""]",9,"[""FREMAX: BD3030"", ""HF: HF 322"", ""HIPPERFREIOS: HF322"", ""LITTON: CPO29"", ""OE: 7700752363"", ""RENAULT: 7700752363"", ""RENAULT: 7700783030"", ""RENAULT: 7701463277""]",8,,,89.6958
RPTA00230,https://icepar.specparts.shop/products/detail?slug=trw_rpta00230-60444,293,,RPTA00230,CAM FRE TRA VW GOL-GACEL-PASSAT-SANTANA/SEAT IBIZA (HF65/BD1511),CAMPANA DE FRENO AUDI 80 / Coupe SEAT Arosa + ABS 97/-SEAT Ibiza / Cordoba / Toledo VOLKSWAGEN Gacel VOLKSWAGEN Gol VOLKSWAGEN Saveiro Tod. Mod. 82 / 86VOLKSWAGEN Passat/Santana (HF65/BD1511) CODIGO ANTERIOR RPTA00680,"[""AUDI 80 19 TDI (1994 AL 1997)"", ""AUDI 80 2.0 E (1994 AL 1997)"", ""AUDI 30 2.8 V6 (1994 AL 1997)"", ""FORD GALAXY 18) (1994 AL 1996)"", ""FORD GALAXY 2.0 (1993 AL 1996)"", ""MERCEDES BENZ ACTROS 2044 5 (2011 AL 2014)"", ""MERCEDES BENZ ACTROS 2045 L5 (2022 AL 2026)"", ""MERCEDES BENZ ACTROS 2548 L5 (2022 AL 2026)"", ""MERCEDES BENZ ACTROS 2636 (2019 AL 2022)"", ""MERCEDES BENZ ACTROS 2663 (2019 AL 2022)"", ""MERCEDES BENZ ACTROS 3336 (2013 AL 2016)"", ""MERCEDES BENZ ACTROS 3341 (2006 AL 2008)"", ""MERCEDES BENZ ACTROS 3342 5 (2018 AL 2026)"", ""MERCEDES BENZ ACTROS 3344 B/K/S (2011 AL 2015)"", ""MERCEDES BENZ ACTROS 33511 LS (2020 AL 2026)"", ""MERCEDES BENZ ACTROS 4141 (2012 AL 2013)"", ""MERCEDES BENZ ACTROS 4144 (2013 AL 2016)"", ""MERCEDES BENZ AXOR 3344 5 (2021 AL 2026)"", ""SEAT CORDOBA 1.4 (1994 AL 1996)"", ""SEAT CORDOBA 1.6 (1996 AL 1999)"", ""SEAT CORDOBA 1.8 (1994 AL 1997)"", ""SEAT CORDOBA 1.9 TD (1994 AL 1998)"", ""SEAT CORDOBA 1.9 TDI (1999 AL 2003)"", ""SEAT CORDOBA 1.9D (1994 AL 1997}"", ""SEAT CORDOBA 2.0 (1997 AL 1999)"", ""SEAT IBIZA 10 (1997 AL 2000)"", ""SEAT IBIZA 13 (1992 AL 1994)"", ""SEAT IBIZA 14 (1996 AL 1997, 2010 AL 2011)"", ""SEAT IBIZA 16 (1996 AL 1997)"", ""SEAT IBIZA 18 (1994 AL 1997)"", ""SEAT IBIZA 18 16V (1995 AL 1997)"", ""SEAT IBIZA L9D (1993 AL 2000)"", ""SEAT IBIZA 2.0 (1994 AL 1995)"", ""SEAT IBIZA 2.0 16V (1996 AL 2000)"", ""SEAT TERRA STD (1992 AL 1996)"", ""SEAT TOLEDO 1.6 (1997 AL 2000)"", ""SEAT TOLEDO 1.8 (1991 AL 1996)"", ""SEAT TOLEDO 1.9 TDI (1994 AL 2000)"", ""SEAT TOLEDO 1.9D (1994 AL 2000)"", ""SEAT TOLEDO 2.0 (1994 AL 1999)"", ""SEAT TOLEDO 2.0 16V (1994 AL 1995)"", ""VOLKSWAGEN CARAT 14 (1987 AL 1991)"", ""VOLKSWAGEN CARAT 2.0 (1989 AL 1992)"", ""VOLKSWAGEN GACEL 16 &V (1983 AL 1993)"", ""VOLKSWAGEN GACEL 16 D (1992 AL 1993)"", ""VOLKSWAGEN GACEL 18 GLS5 (1987 AL 1994)"", ""VOLKSWAGEN GOL 10 MI (1999 AL 2003)"", ""VOLKSWAGEN GOL 14 &V MI (2011 AL 2018)"", ""VOLKSWAGEN GOL 16 CFI (1991 AL 1998)"", ""VOLKSWAGEN GOL 16 D (1995 AL 1998)"", ""VOLKSWAGEN GOL 16 MI (1996 AL 2011)"", ""VOLKSWAGEN GOL 18 CFI (1995 AL 1997)"", ""VOLKSWAGEN GOL 18 GL (1993 AL 1995)"", ""VOLKSWAGEN GOL 18 MI (1995 AL 2003)"", ""VOLKSWAGEN GOL 139 D (1998)"", ""VOLKSWAGEN GOL 19 5D (1998 AL 2009)"", ""VOLKSWAGEN GOL 19D (1998 AL 1999)"", ""VOLKSWAGEN GOL 2.0 (1991 AL 1999)"", ""VOLKSWAGEN GOL 2.0 16V (1995 AL 2001)"", ""VOLKSWAGEN GOL TREND 16 8V (2008 AL 2020)"", ""VOLKSWAGEN GOL TREND 16 8V IMCTION (2008 AL 2017)"", ""VOLKSWAGEN GOL TREND 16 &V MSI AT (2020 AL 2026)"", ""VOLKSWAGEN GOLF 18 (1983 AL 1989)"", ""VOLKSWAGEN GOLF 14 MI (1996 AL 1998)"", ""VOLKSWAGEN GOLF 19 TD (1996 AL 1999)"", ""VOLKSWAGEN GOLF 2.01(1990 AL 1995)"", ""VOLKSWAGEN PASSAT 1.8 (1983 AL 1984, 1998 AL 2001)"", ""VOLKSWAGEN PASSAT 1 T (1998 AL 2005)"", ""VOLKSWAGEN PASSAT 1.3 TURBO (1998 AL 2001)"", ""VOLKSWAGEN PASSAT 1.9 TDI (1995 AL 2005)"", ""VOLKSWAGEN PASSAT 2.0 FSI (2006 AL 2010)"", ""VOLKSWAGEN PASSAT 2.0 TDI (2006 AL 2011)"", ""VOLKSWAGEN PASSAT 2.0 TSI (2007 AL 2011)"", ""VOLKSWAGEN PASSAT 2.01 (1995 AL 1999)"", ""VOLKSWAGEN PASSAT 2.01 AT (1995 AL 1998)"", ""VOLKSWAGEN PASSAT 2.8 V6 4MOTION (1998 AL 2005)"", ""VOLKSWAGEN PASSAT 2.8 VR6 (1995 AL 1998)"", ""VOLKSWAGEN PASSAT 3.2 V6 FSI (2006 AL 2011)"", ""VOLKSWAGEN PASSAT 4.0 W& (2003 AL 2005)"", ""VOLKSWAGEN POLO CLASSIC 16 8V (2001 AL 2009)"", ""VOLKSWAGEN POLO CLASSIC 16 MI (1996 AL 2001)"", ""VOLKSWAGEN POLO CLASSIC 18 MI (1997 AL 2009)"", ""VOLKSWAGEN POLO CLASSIC 19 5D (1996 AL 2005)"", ""VOLKSWAGEN POLO CLASSIC 19 TDI (1998 AL 2009)"", ""VOLKSWAGEN SANTANA 2.6 (2002 AL 2007)"", ""VOLKSWAGEN SAVEIRO 1.6 D (1990 AL 1997)"", ""VOLKSWAGEN SAVEIRO 1.6 MI (1996 AL 2010)"", ""VOLKSWAGEN SAVEIRO 1.6 N (1991 AL 1997)"", ""VOLKSWAGEN SAVEIRO 1.9 D (2003 AL 2010)"", ""VOLKSWAGEN SAVEIRO 1.9 5D (1998 AL 2001)"", ""VOLKSWAGEN SENDA 16 8V (1989 AL 1997)"", ""VOLKSWAGEN SENDA 16 D (1990 AL 1997}"", ""VOLKSWAGEN VOYAGE 16 8V (2008 AL 2015)"", ""VOLKSWAGEN VOYAGE 16 8V MSSI (2016 AL 2026)""]",94,"[""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 182 mm"", ""ANCHO DE PISTA: 39 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 210 mm"", ""ALTURA TOTAL: 74 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 180 mm"", ""CANTIDAD DE ORIFICIOS: 4"", ""DIAMETRO DE ORIFICIO CENTRAL: 39.9 mm"", ""INCLUYE MAZA: 51"", ""POSICION: TRASERO""]",9,"[""FREMAX: BD 1511"", ""HF: HF 65"", ""HIPPERFREIOS: HF65"", ""LITTON: CPOO6"", ""OE: 841501615A"", ""VOLKSWAGEN: 171501615BC"", ""VOLKSWAGEN: 1915016158"", ""VOLKSWAGEN: 823501615-B""]",8,,,145.2491
RPTA00240,https://icepar.specparts.shop/products/detail?slug=trw_rpta00240-60445,293,,RPTA00240,CAM FRE TRA VW SAVEIRO-PARATI-QUANTUM/FORD GALAXY (HF08/BD1516),CAMPANA DE FRENO AUDI 80 / Coupe FORD Galaxy/Versalles 92/96VOLKSWAGEN Saveiro Tod. Mod. 86/-VOLKSWAGEN Parati VOLKSWAGEN Quantum VOLKSWAGEN Saveiro (HF08/BD1516) CODIGO ANTERIOR RPTA00690,"[""AUDI 80 19 TDI (1994 AL 1997)"", ""AUDI 80 2.0 E (1994 AL 1997)"", ""AUDI 30 2.8 V6 (1994 AL 1997)"", ""FORD FOCUS 18 TDCI (2008 AL 2014)"", ""FORD GALAXY 18) (1994 AL 1996)"", ""FORD GALAXY 2.0 (1991 AL 1996)"", ""KIA SORENTO 2.4 DOHC AT (2016 AL 2026)"", ""KIA SPORTAGE 20 CRDI AT (2016 AL 2022)"", ""SEAT CORDOBA 1.4 (1994 AL 1996)"", ""SEAT CORDOBA 1.6 (1996 AL 1999)"", ""SEAT CORDOBA 1.9 TDI (1997 AL 2005, 2008 AL 2011)"", ""SEAT CORDOBA 1.9D (1997 AL 2003)"", ""SEAT CORDOBA 2.0 (1997 AL 1999)"", ""SEAT IBIZA 10 (1997 AL 2000)"", ""SEAT IBIZA 14 (1996 AL 1997, 2010 AL 2011)"", ""SEAT IBIZA 16 (2000 AL 2005, 2010 AL 2011)"", ""SEAT IBIZA 19 TDI (2003 AL 2005)"", ""SEAT IBIZA L9D (1994 AL 2000)"", ""SEAT IBIZA 2.0 (1994 AL 2000)"", ""SEAT IBIZA 2.0 16V (1996 AL 2000)"", ""SEAT INCA 16 (2000 AL 2002)"", ""SEAT TOLEDO 1.6 (1997 AL 2000)"", ""SEAT TOLEDO 1.8 (1994 AL 1996)"", ""SEAT TOLEDO 1.9 TDI (1994 AL 1997)"", ""SEAT TOLEDO 1.9D (1994 AL 2000)"", ""SEAT TOLEDO 2.0 16V (1994 AL 1995)"", ""VOLKSWAGEN GOL 16 CFI (1991 AL 1998)"", ""VOLKSWAGEN GOL 16 D (1995 AL 1998)"", ""VOLKSWAGEN GOL 16 MI (1998 AL 2011)"", ""VOLKSWAGEN GOL 18 MI (1997 AL 1999)"", ""VOLKSWAGEN GOLF 16 8V (1999 AL 2002)"", ""VOLKSWAGEN GOLF 18 (1983 AL 1989)"", ""VOLKSWAGEN GOLF 14 MI (1996 AL 1998)"", ""VOLKSWAGEN GOLF 19 TD (1996 AL 1999)"", ""VOLKSWAGEN GOLF 2.0 (1995 AL 1999)"", ""VOLKSWAGEN GOLF 2.01(1990 AL 1995)"", ""VOLKSWAGEN GOLF 2.8 VR6 (1996 AL 1999)"", ""VOLKSWAGEN POLO 16 16V AT (2015 AL 2022)"", ""VOLKSWAGEN POLO 16 16V MT (2015 AL 2026)"", ""VOLKSWAGEN POLO 16 MSI MT (2022 AL 2026)"", ""VOLKSWAGEN POLO CLASSIC 16 8V (2001 AL 2009)"", ""VOLKSWAGEN POLO CLASSIC 16 MI (1996 AL 2001)"", ""VOLKSWAGEN POLO CLASSIC 18 MI (1997 AL 2009)"", ""VOLKSWAGEN POLO CLASSIC 19 5D (1996 AL 2005)"", ""VOLKSWAGEN POLO CLASSIC 19 TDI (1998 AL 2009)"", ""VOLKSWAGEN QUANTUM 18 (1986 AL 1996)"", ""VOLKSWAGEN QUANTUM 14 MI (1996 AL 1998)"", ""VOLKSWAGEN QUANTUM 2.0 (1992 AL 1998)"", ""VOLKSWAGEN SANTANA 2.6 (2002 AL 2007)"", ""VOLKSWAGEN SAVEIRO 1.6 D (1990 AL 1997)"", ""VOLKSWAGEN SAVEIRO 1.6 MI (2002 AL 2010)"", ""VOLKSWAGEN SAVEIRO 1.6 N (1991 AL 1997)"", ""VOLKSWAGEN SAVEIRO 1.9 D (2003 AL 2010)"", ""VOLKSWAGEN SAVEIRO 1.9 5D (1998 AL 2001)""]",54,"[""ALTURA TOTAL: 81 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 202 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 200.5 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 239 mm"", ""CANTIDAD DE ORIFICIOS: 4"", ""DIAMETRO DE ORIFICIO CENTRAL: 39.85 mm"", ""ANCHO DE PISTA: 48 mm"", ""INCLUYE MAZA: 51"", ""POSICION: TRASERO""]",9,"[""AUDI: 191501615A"", ""AUDI: 841501615A"", ""FORD: 8235016121"", ""FREMAX: BD1512"", ""HF: HF 08"", ""HIPPERFREIOS: HFO8"", ""LITTON: CPOO7"", ""OE: 331501615"", ""OE: 331501615A"", ""OE: 379501615A"", ""OE: 841501615A"", ""VOLKSWAGEN: 191501615A"", ""VOLKSWAGEN: 305501615-1"", ""VOLKSWAGEN: 841501615A""]",14,,,104.5568
RPTA00450,https://icepar.specparts.shop/products/detail?slug=trw_rpta00450-60446,293,,RPTA00450,CAM FRE TRA RENAULT CLIO-MEGANE-SANDERO-SCENIC-SYMBOL (HF322B/BD9322),CAMPANA DE FRENO RENAULT Clio c/ABS RENAULT Megane RENAULT Sandero 1.6 8V / 1.6 16V 08/-RENAULT Scenic Tds Modelos 95/99RENAULT Symbol Tod. Mod 09/- (HF322B/BD9322) CODIGO ANTERIOR RPTA00830,"[""RENAULT CLIO 14 (1992 AL 1995)"", ""RENAULT CLIO 15 DCI (2001 AL 2009)"", ""RENAULT CLIO 16 16V (1999 AL 2009)"", ""RENAULT CLIO 16 (1991 AL 2000)"", ""RENAULT CLIO 18 (1995 AL 1998)"", ""RENAULT CLIO L9D (1995 AL 1998)"", ""RENAULT CLIO 2.0 (2000 AL 2005)"", ""RENAULT CLIO 2.0 150CV (1994 AL 1996)"", ""RENAULT LOGAN 1.6 16V (2013 AL 2021)"", ""RENAULT LOGAN 1.4 16V MT (2019 AL 2026)"", ""RENAULT LOGAN 1.6 8V (2013 AL 2022)"", ""RENAULT MEGANE 1.6 110C¥ (2000 AL 2002)"", ""RENAULT MEGANE 1.6 16V (1999 AL 2005)"", ""RENAULT MEGANE 1.6 8V (1998 AL 1999)"", ""RENAULT MEGANE 1.9 DCI (2006 AL 2007)"", ""RENAULT MEGANE 1.9 DTI (1999 AL 2009)"", ""RENAULT MEGANE 1.9 TD (1998 AL 1999)"", ""RENAULT MEGANE 2.0 (1997 AL 1999)"", ""RENAULT MEGANE 2.0 115C¥ (1997 AL 2003)"", ""RENAULT MEGANE 2.0 150CV (1997 AL 2000)"", ""RENAULT MEGANE 2.0 16V (2002 AL 2011)"", ""RENAULT SANDERO 1.5 DCI (2008 AL 2011)"", ""RENAULT SANDERG 1.6 16V (2008 AL 2026)"", ""RENAULT SANDERGO 1.6 16V CVT (2019 AL 2026)"", ""RENAULT SANDERG 1.6 16V GT CVT (2020 AL 2026)"", ""RENAULT SANDERG 1.6 16V GT MT (2020 AL 2026)"", ""RENAULT SANDERO 1.6 16V MT (2019 AL 2026)"", ""RENAULT SANDERGO 1.6 8V (2009 AL 2020)"", ""RENAULT SCENIC 16 16¥V (1998 AL 2001)"", ""RENAULT SCENIC 19 DTI (1998 AL 2001)"", ""RENAULT STEPWAY 16 (2022 AL 2026)"", ""RENAULT SYMBOL 15 DCI (2009 AL 2013)"", ""RENAULT SYMBOL 16 16¥V (2009 AL 2014)"", ""RENAULT SYMBOL 16 8V (2009 AL 2012)""]",34,"[""ANCHO DE PISTA: 50 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 205 mm"", ""POSICION: TRASERO"", ""DIAMETRO DE ORIFICIO CENTRAL: 52 mm"", ""ALTURA TOTAL: 75 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 203 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 234.5 mm"", ""CANTIDAD DE ORIFICIOS: 4"", ""INCLUYE MAZA: 51""]",9,"[""BOSCH: 204113671"", ""FREMAX: BD9322"", ""HF: HF 32268"", ""HIPPERFREIOS: HF322B"", ""LITTON: CPO35"", ""OE: 770082766"", ""OE: 7700839322"", ""RENAULT: 7700818346"", ""RENAULT: 770082766""]",9,,,74.6138
RPTA01600,https://icepar.specparts.shop/products/detail?slug=trw_rpta01600-60451,293,,RPTA01600,CAM FRE TRA VW FOX-SURAN (HF08A/BD9617),CAMPANA DE FRENO VOLKSWAGEN Fox 1.6 / Suran 04/-VOLKSWAGEN Suran Tds modelos 06/- (HF08A/BD9617) CODIGO ANTERIOR RPTA01620,"[""SEAT IBIZA 14 (2010 AL 2011)"", ""VOLKSWAGEN CROSSFOX 16 16V MSI (2015 AL 2017)"", ""VOLKSWAGEN CROSSFOX 16 &V (2005 AL 2016)"", ""VOLKSWAGEN FOX 16 16V MSI (2015 AL 2021)"", ""VOLKSWAGEN FOX 16 8V (2003 AL 2015)"", ""VOLKSWAGEN FOX 16 &V MSI (2015 AL 2022)"", ""VOLKSWAGEN FOX 19 SDI (2008 AL 2010)"", ""VOLKSWAGEN POLO 16 16V MT (2015 AL 2026)"", ""VOLKSWAGEN SURAN 16 16V MSI (2015 AL 2026)"", ""VOLKSWAGEN SURAN 16 16V MSI IMOTION (2015 AL 2021)"", ""VOLKSWAGEN SURAN 16 &V (2006 AL 2015)"", ""VOLKSWAGEN SURAN 16 &V MSI (2015 AL 2026)"", ""VOLKSWAGEN SURAN 139 SDI (2007 AL 2010)"", ""VOLKSWAGEN SURANCROSS 16 8V (2011 AL 2015)""]",14,"[""DIAMETRO DE ORIFICIO CENTRAL: 65 mm"", ""ANCHO DE PISTA: 49 mm"", ""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 203 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 240 mm"", ""ALTURA TOTAL: 59 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 200 mm"", ""CANTIDAD DE ORIFICIOS: 5"", ""INCLUYE MAZA: 51"", ""POSICION: TRASERO""]",9,"[""FREMAX: BD9617"", ""HF: HF OBA"", ""HIPPERFREIOS: HFOSA"", ""LITTON: CPO37"", ""OE: 6Q0609617""]",5,,,46.9945
RPTA02000,https://icepar.specparts.shop/products/detail?slug=trw_rpta02000-60464,293,,RPTA02000,CAM FRE TRA CHEV. Tracker 01-… (HF302B/BD4804),CAMPANA DE FRENO CHEV. Tracker (POS) TRA 01-… CODIGO ANTERIOR RPTA02010,"[""CHEVROLET GRAND VITARA 16 (2001 AL 2002)"", ""CHEVROLET GRAND VITARA 2.0 (1999 AL 2003)"", ""CHEVROLET GRAND VITARA 2.0 HDI (1999 AL 2003)"", ""CHEVROLET GRAND VITARA 2.0 TDI (1999 AL 2003)"", ""CHEVROLET GRAND VITARA 2.5 (2001 AL 2003)"", ""CHEVROLET TRACKER 1.8 16¥V (2013 AL 2026)"", ""CHEVROLET TRACKER 1.8 16V AT (2017 AL 2022}"", ""CHEVROLET TRACKER 1.8 16V MT (2017 AL 2026)"", ""SUZUKI GRAND VITARA 16 (1998 AL 2009)"", ""SUZUKI GRAND VITARA 20 (1998 AL 2009)"", ""SUZUKI GRAND VITARA 20 HDI (2002 AL 2007)"", ""SUZUKI GRAND VITARA 20 TDI (2002 AL 2003)"", ""SUZUKI GRAND VITARA 24 (2014 AL 2019)"", ""SUZUKI GRAND VITARA 25 (1998 AL 1999)"", ""SUZUKI GRAND VITARA 25 TDI (1998 AL 2003)"", ""SUZUKI GRAND VITARA 27 V6 (2006 AL 2007)"", ""SUZUKI SAMURAI 19 (1995 AL 1999)"", ""SUZUKI VITARA 16 (1990 AL 1999)"", ""SUZUKI VITARA L9D (1996 AL 1999)"", ""SUZUKI VITARA 2.0 TD (1997 AL 1999)"", ""SUZUKI VITARA 2.0 V6 (1996 AL 1999)""]",21,"[""DIAMETRO INTERIOR DE CAMPANA MAXIMO: 222 mm"", ""CANTIDAD DE ORIFICIOS: 5"", ""ANCHO DE PISTA: 54 mm"", ""ALTURA TOTAL: 64 mm"", ""DIAMETRO EXTERIOR DE CAMPANA: 262 mm"", ""DIAMETRO INTERIOR DE CAMPANA: 220 mm"", ""DIAMETRO DE ORIFICIO CENTRAL: 108 mm"", ""POSICION: TRASERO""]",8,"[""FREMAX: BD4804"", ""HF: HF 30268"", ""OE: 4351165D10""]",3,,,51.1855
