codigo,detail_url,page,arts_articulo,arts_articulo_emp,arts_nombre,arts_descripcion,aplicaciones_ocr,aplicaciones_ocr_count,atributos_ocr,atributos_ocr_count,referencias_ocr,referencias_ocr_count,oem_ocr,oem_ocr_count,processing_seconds
600 0084 00,https://icepar.specparts.shop/products/detail?slug=luk_600008400-1319198,835,,,,,[],0,[],0,"[""LUK: 600 0084 000""]",1,,,7.3779
625 3212 33,https://icepar.specparts.shop/products/detail?slug=luk_625321233-1319200,835,,,,,[],0,[],0,[],0,,,2.6076
600 0136 00,https://icepar.specparts.shop/products/detail?slug=luk_600013600-1319227,835,,,,,[],0,[],0,"[""LUK: 600 0136 000""]",1,,,7.1881
3000 950 527,https://icepar.specparts.shop/products/detail?slug=sachs_3000950527-1319246,835,,,,,"[""RENAULT R19 L9D (1991 AL 1996)""]",1,"[""CANTIDAD DE ESTRIAS DE DISCO: 26"", ""DIAMETRO EXTERIOR DE DISCO: 200 mm""]",2,[],0,,,12.5421
600 0239 00,https://icepar.specparts.shop/products/detail?slug=luk_600023900-1319258,835,,,,,[],0,[],0,[],0,,,2.6708
622 3429 34,https://icepar.specparts.shop/products/detail?slug=luk_622342934-1319309,835,,,,,[],0,[],0,[],0,,,34.0842
HDK-195,https://icepar.specparts.shop/products/detail?slug=phcvaleo_hdk195-1319310,835,,,,,[],0,[],0,[],0,,,2.7380
832088,https://icepar.specparts.shop/products/detail?slug=valeo_832088-1319411,835,,,,,[],0,[],0,[],0,,,2.7360
600 0143 00,https://icepar.specparts.shop/products/detail?slug=luk_600014300-1319510,835,,,,,[],0,[],0,[],0,,,2.6872
2290 601 060,https://icepar.specparts.shop/products/detail?slug=sachs_2290601060-18620,835,,,,,"[""AUDI A3 18 TFSI (2008 AL 2015)"", ""AUDI A3 2.0 TFSI (2006 AL 2015)"", ""AUDI TT 2.0 TFSI (2006 AL 2013)"", ""SEAT LEON 2.0 FSI (2008 AL 2005)"", ""VOLKSWAGEN GOLF 2.0 TSI (2011 AL 2014)"", ""VOLKSWAGEN PASSAT 1.8 TSI (2011 AL 2016)"", ""VOLKSWAGEN PASSAT 2.0 FSI (2006 AL 2010)"", ""VOLKSWAGEN PASSAT 2.0 TDI (2006 AL 2011)"", ""VOLKSWAGEN SCIROCCO 2.0TSI (2012 AL 2016)"", ""VOLKSWAGEN VENTO 20 TFSI (2007 AL 2011)""]",10,"[""DIAMETRO DE ESTRIADO DE DISCO: 218 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 23"", ""DIAMETRO EXTERIOR DE DISCO: 240 mm""]",3,[],0,,,26.8941
2290 601 009,https://icepar.specparts.shop/products/detail?slug=sachs_2290601009-18623,835,,,,,"[""AUDI A3 2.0 TDI (2008 AL 2015)"", ""SEAT ALTEA 2.0 TDI (2008 AL 2009)"", ""SEAT LEON 2.0 TDI (2008 AL 2009)"", ""VOLKSWAGEN PASSAT 2.0 TDI (2006 AL 2011)"", ""VOLKSWAGEN PASSAT 2.0 TDI BLUEMOTION (2011 AL 2016)"", ""VOLKSWAGEN VENTO 20 TDI (2006 AL 2011)""]",6,"[""DIAMETRO EXTERIOR DE DISCO: 240 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 23""]",2,"[""SACHS: 5X%:2290 601 009""]",1,,,29.0983
2290 601 050,https://icepar.specparts.shop/products/detail?slug=sachs_2290601050-18658,836,,,,,"[""VOLKSWAGEN VENTO 20 TDI 110CV (2011 AL 2016)"", ""VOLKSWAGEN VENTO 20 TDI 140CV (2011 AL 2015)""]",2,"[""CANTIDAD DE ESTRIAS DE DISCO: 28"", ""DIAMETRO DE ESTRIADO DE DISCO: 24.2 mm"", ""DIAMETRO EXTERIOR DE DISCO: 228 mm""]",3,"[""SACHS: 2290 602 004""]",1,,,22.2209
2290 601 051,https://icepar.specparts.shop/products/detail?slug=sachs_2290601051-18659,836,,,,,"[""AUDI A3 2.0 TFSI (2016 AL 2018)"", ""VOLKSWAGEN PASSAT 2.0 TSI (2007 AL 2011)""]",2,"[""CANTIDAD DE ESTRIAS DE DISCO: 23"", ""DIAMETRO EXTERIOR DE DISCO: 240 mm"", ""DIAMETRO DE ESTRIADO DE DISCO: 24.2 mm""]",3,"[""SACHS: 2290 601021""]",1,,,21.3351
2290 601 011,https://icepar.specparts.shop/products/detail?slug=sachs_2290601011-18688,836,,,,,"[""MERCEDES BENZ SPRINTER 2.2 CDI (2002 AL 2014)""]",1,"[""DIAMETRO EXTERIOR DE DISCO: 240 mm"", ""DIAMETRO EXTERIOR DE PLACA: 26 mm""]",2,"[""SACHS: 5%:2290 601011""]",1,,,17.5284
2289 000 041,https://icepar.specparts.shop/products/detail?slug=sachs_2289000041-18704,836,,,,,"[""VOLKSWAGEN BORA 139 TDI (2005 AL 2016)"", ""VOLKSWAGEN GOLF 19 TDI (1999 AL 2011)""]",2,"[""DIAMETRO EXTERIOR DE DISCO: 228 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 28""]",2,"[""LUK: 417 0019 110"", ""SACHS: 1999""]",2,,,21.5262
2289 601 002,https://icepar.specparts.shop/products/detail?slug=sachs_2289601002-18710,836,,,,,"[""AUDI A3 2.0 TDI (2005 AL 2015)"", ""SEAT ALTEA 2.0 TDI (2008 AL 2009)"", ""SEAT LEON 2.0 TDI (2008 AL 2009)"", ""SEAT TOLEDO 2.0 TDI (2008 AL 2005)"", ""VOLKSWAGEN PASSAT 2.0 TDI (2006 AL 2011)"", ""VOLKSWAGEN PASSAT 2.0 TDI BLUEMOTION (2011 AL 2016)"", ""VOLKSWAGEN VENTO 20 TDI (2006 AL 2011)""]",7,"[""CANTIDAD DE ESTRIAS DE DISCO: 23"", ""DIAMETRO EXTERIOR DE DISCO: 240 mm""]",2,"[""SACHS: 5%:2289 601002""]",1,,,24.7862
2290 601 108,https://icepar.specparts.shop/products/detail?slug=sachs_2290601108-18713,836,,,,,"[""MERCEDES BENZ SPRINTER 2.2 CDI 116CV (2012 AL 2026)"", ""MERCEDES BENZ SPRINTER 2.2 CDI 150CV (2016 AL 2026)""]",2,"[""CANTIDAD DE ESTRIAS DE DISCO: 26"", ""DIAMETRO EXTERIOR DE DISCO: 240 mm""]",2,"[""SACHS: 2290 601 103:009""]",1,,,19.5192
2289 000 298,https://icepar.specparts.shop/products/detail?slug=sachs_2289000298-18714,836,,,,,"[""AUDI A4 2.0 TDI (2006 AL 2014)"", ""AUDI Q5 20 TDI (2009 AL 2014)""]",2,"[""DIAMETRO EXTERIOR DE DISCO: 240 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 28""]",2,"[""SACHS: 2289 000 1438"", ""SACHS: 2289 000 293:009""]",2,,,20.4896
2290 601 022,https://icepar.specparts.shop/products/detail?slug=sachs_2290601022-35164,836,,,,,"[""AUDI A3 LBT (180 CV) (2000 AL 2004)""]",1,"[""CANTIDAD DE ESTRIAS DE DISCO: 28"", ""DIAMETRO EXTERIOR DE DISCO: 228 mm""]",2,"[""SACHS: 5%:2290 601022""]",1,,,17.7518
2290 601 015,https://icepar.specparts.shop/products/detail?slug=sachs_2290601015-35167,836,,,,,"[""AUDI A4 18 (1997 AL 2000)"", ""AUDI A4 18 T (1998 AL 2008)""]",2,"[""DIAMETRO DE ESTRIADO DE DISCO: 24.2 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 23"", ""DIAMETRO EXTERIOR DE DISCO: 240 mm""]",3,[],0,,,15.0696
2290 601 047,https://icepar.specparts.shop/products/detail?slug=sachs_2290601047-35257,836,,,,,"[""FORD FOCUS 2.0 16¥ (2005 AL 2010)""]",1,"[""CANTIDAD DE ESTRIAS DE DISCO: 23"", ""DIAMETRO EXTERIOR DE DISCO: 228 mm""]",2,[],0,,,12.0374
2290 601 002,https://icepar.specparts.shop/products/detail?slug=sachs_2290601002-35267,836,,,,,"[""CITROEN BERLINGG 1.6 HDI (2010 AL 2026)"", ""CITROEN BERLINGO 1.6 HDI 110CV (2011 AL 2014)"", ""PEUGEOT PARTNER 16 HDI (2010 AL 2011)""]",3,"[""DIAMETRO EXTERIOR DE PLACA: 228 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 18""]",2,[],0,,,14.8636
2290 601 101,https://icepar.specparts.shop/products/detail?slug=sachs_2290601101-35293,836,,,,,"[""CITROEN C4 16 HDI (2011 AL 2014)"", ""PEUGEOT 308 1.6 HDI (2011 AL 2026)"", ""PEUGEOT 408 14 HDI (2011 AL 2026)""]",3,"[""DIAMETRO EXTERIOR DE DISCO: 235 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 26""]",2,"[""SACHS: 2290 601089"", ""SACHS: 2290 601 101:009""]",2,,,21.5793
2289 601 001,https://icepar.specparts.shop/products/detail?slug=sachs_2289601001-62208,836,,,,,"[""AUDI A3 19 TDI (1997 AL 2005, 2008 AL 2005)"", ""SEAT ALHAMBRA 139 TDI (1997 AL 1999)"", ""SEAT CORDOBA 1.9 TDI (1997 AL 2005)"", ""SEAT IBIZA 19 TDI (2003 AL 2005)"", ""VOLKSWAGEN GOLF 19 TDI (1999 AL 2011)"", ""VOLKSWAGEN SHARAN 19 TDI (2001 AL 2011)""]",6,"[""DIAMETRO: 240 mm"", ""NUMERO DE DIENTES: 23""]",2,"[""SACHS: 5%:2289 601001""]",1,,,23.9497
2290 601 003,https://icepar.specparts.shop/products/detail?slug=sachs_2290601003-62209,836,,,,,"[""PEUGEOT 307 2.0 HDI 110CV (2006 AL 2012)""]",1,"[""DIAMETRO EXTERIOR DE DISCO: 228 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 18""]",2,"[""SACHS: 5X%:2290 601003""]",1,,,17.3356
2289 000 280,https://icepar.specparts.shop/products/detail?slug=sachs_2289000280-106884,836,,,,,"[""AUDI A3 19 TDI (1997 AL 2005, 2008 AL 2005)"", ""SEAT LEON 19 TDI (2009 AL 2011)""]",2,"[""CANTIDAD DE ESTRIAS DE DISCO: 23"", ""DIAMETRO EXTERIOR DE DISCO: 240 mm""]",2,"[""SACHS: 5X%:2289 000 280""]",1,,,19.5158
417 0027 10,https://icepar.specparts.shop/products/detail?slug=luk_417002710-986191,836,,,,,"[""VOLKSWAGEN TRANSPORTER 24 SD (1999 AL 2004)""]",1,"[""DIAMETRO EXTERIOR DE DISCO: 228 mm"", ""CANTIDAD DE ESTRIAS DE DISCO: 28""]",2,"[""LUK: 4170027100""]",1,,,18.0496
